<SIZE>35
<LANG>EN,ES
<STATE>Basque Country,PV
Amorebieta-Etxano,Amorebieta-Etxano,43.2167,-2.73333
Andoain,Andoain,43.2166,-2.0253
Arrigorriaga,Arrigorriaga,43.2,-2.88333
Azkoitia,Azcoitia,43.1774,-2.31129
Azpeitia,Azpeitia,43.1825,-2.26693
Barakaldo,Barakaldo,43.2956,-2.99729
Beasain,Beasáin,43.0502,-2.20087
Bergara,Vergara,43.1151,-2.4175
Bermeo,Bermeo,43.4209,-2.72152
Bilbao,Bilbao,43.2627,-2.92528
Durango,Durango,43.1667,-2.61667
Eibar,Eibar,43.1849,-2.47158
Elgoibar,Elgóibar,43.216,-2.41334
Erandio,Erandio,43.3079,-2.94502
Ermua,Ermua,43.1833,-2.5
Galdakao,Galdácano,43.2333,-2.83333
Hernani,Hernani,43.2662,-1.97615
Hondarribia,Fuenterrabía,43.372,-1.79448
Irun,Irun,43.339,-1.78938
Labastida,Labastida,42.5833,-2.78333
Laudio-Llodio,Llodio,43.15,-2.96667
Oria,Oria,43.2554,-2.01873
Oyón,Oyon,42.5,-2.43333
Oñati,Oñate,43.0326,-2.40997
Portugalete,Portugalete,43.321,-3.02064
San Sebastián,San Sebastián,43.3128,-1.97499
Santurtzi,Santurce,43.3284,-3.03248
Santutxu,Santutxu,43.2535,-2.9161
Sestao,Sestao,43.3098,-3.00716
Sopelana,Sopelana,43.3789,-2.98313
Tolosa,Tolosa,43.1348,-2.07801
Villanueva de Valdegovía,Villanueva de Valdegovía,42.85,-3.1
Vitoria-Gasteiz,Vitoria,42.85,-2.66667
Zarautz,Zarauz,43.2844,-2.16992
Zumarraga,Zumárraga,43.0886,-2.31408
