<SIZE>83
<LANG>EN
<STATE>Southern Finland,ES
Anjala,60.6833,26.8333
Artjärvi,60.75,26.0833
Asikkala,61.2167,25.5
Askola,60.5333,25.6
Borgå,60.4,25.6667
Elimäki,60.7167,26.4667
Espoo,60.2167,24.6667
Forssa,60.8167,23.6333
Grankulla,60.2172,24.7425
Hamina,60.5667,27.2
Hanko,59.8333,22.95
Hartola,61.5833,26.0167
Hauho,61.1667,24.55
Hausjärvi,60.7833,24.9333
Heinola,61.2167,26.0333
Helsinki,60.1756,24.9342
Hollola,61.05,25.4333
Humppila,60.9333,23.3667
Hyvinkää,60.6333,24.8667
Hämeenlinna,61,24.45
Iitti,60.8667,26.3833
Imatra,61.1667,28.7667
Ingå,60.05,24.0167
Jaala,61.05,26.4833
Janakkala,60.9,24.6
Jokioinen,60.8167,23.4667
Joutseno,61.1,28.5
Järvenpää,60.4667,25.1
Kalvola,61.1,24.1167
Karis,60.0833,23.6667
Karjalohja,60.25,23.7167
Karkkila,60.5333,24.1833
Kerava,60.4,25.1167
Kirkkonummi,60.1167,24.4333
Kotka,60.4667,26.9167
Kouvola,60.8667,26.7
Kuusankoski,60.9,26.6333
Kärkölä,60.6167,23.95
Lahti,60.9833,25.6562
Lammi,61.0833,25.0167
Lapinjärvi,60.6333,26.2167
Lappeenranta,61.0667,28.1833
Lemi,61.05,27.8
Liljendal,60.5667,26.05
Lohja,60.25,24.0833
Loppi,60.7167,24.45
Lovisa,60.45,26.2333
Luumäki,60.9167,27.65
Miehikkälä,60.6667,27.7
Mäntsälä,60.6333,25.3167
Mörskom,60.6667,25.85
Nastola,60.95,25.9333
Nurmijärvi,60.4667,24.8
Orimattila,60.8,25.75
Padasjoki,61.35,25.2833
Parikkala,61.55,29.5
Pernå,60.45,26.05
Pohja,60.1,23.5167
Pornainen,60.4667,25.3833
Pukkila,60.65,25.5667
Pyhtää,60.4833,26.5333
Rautjärvi,61.4333,29.35
Renko,60.9,24.2833
Riihimäki,60.75,24.7667
Ruokolahti,61.2833,28.8333
Saari,61.65,29.75
Sammatti,60.3167,23.8167
Savitaipale,61.2,27.7
Sipoo,60.3667,25.2667
Siuntio,60.1833,24.2
Strömfors,60.5333,26.45
Suomenniemi,61.3167,27.45
Sysmä,61.5,25.6833
Taipalsaari,61.15,28.05
Tammela,60.8,23.7667
Ekenäs,59.9667,23.4333
Tuulos,61.15,24.8
Tuusula,60.4167,25.0333
Uukuniemi,61.7833,30.0167
Valkeala,60.95,26.8
Vihti,60.4167,24.3333
Ylämaa,60.8,28
Ypäjä,60.8,23.2833
