<SIZE>65
<LANG>EN
<STATE>Eastern Finland,IS
Eno,62.8,30.15
Enonkoski,62.0833,28.9333
Haukivuori,62.0167,27.2167
Heinävesi,62.4333,28.6
Hirvensalmi,61.6333,26.8
Iisalmi,63.5667,27.1833
Ilomantsi,62.6667,30.9167
Joensuu,62.6,29.7667
Joroinen,62.1833,27.8333
Juankoski,63.0667,28.35
Juuka,63.2333,29.25
Juva,61.9,27.85
Jäppilä,62.3833,27.4333
Kaavi,62.9833,28.5
Kangaslampi,62.3,28.25
Kangasniemi,61.9833,26.6333
Karttula,62.8833,26.9667
Keitele,63.1833,26.3667
Kerimäki,61.9167,29.2833
Kesälahti,61.9,29.8333
Kiihtelysvaara,62.4833,30.25
Kitee,62.1,30.15
Kiuruvesi,63.65,26.6167
Kontiolahti,62.7667,29.85
Kuopio,62.9,27.6833
Lapinlahti,63.3667,27.4
Leppävirta,62.4833,27.7833
Lieksa,63.3167,30.0167
Liperi,62.5333,29.3667
Maaninka,63.15,27.3
Mikkeli,61.6833,27.25
Mäntyharju,61.4167,26.8833
Nilsiä,63.2,28.0833
Nurmes,63.55,29.1167
Outokumpu,62.7333,29.0167
Pertunmaa,61.5,26.4833
Pieksämäen Maalaiskunta,62.2833,27.0667
Pieksämäki,62.3,27.1333
Pielavesi,63.2333,26.75
Polvijärvi,62.85,29.3667
Punkaharju,61.8,29.4
Puumala,61.5333,28.1833
Pyhäselkä,62.4333,29.9667
Rantasalmi,62.0667,28.3
Rautalampi,62.6333,26.8333
Rautavaara,63.4833,28.3
Ristiina,61.5,27.2667
Rääkkylä,62.3167,29.6167
Savonlinna,61.8667,28.8833
Savonranta,62.1833,29.2
Siilinjärvi,63.0833,27.6667
Sonkajärvi,63.6667,27.5167
Sulkava,61.7833,28.3833
Suonenjoki,62.6167,27.1333
Tervo,62.95,26.75
Tohmajärvi,62.1833,30.3833
Tuupovaara,62.4833,30.6
Tuusniemi,62.8167,28.5
Valtimo,63.6667,28.8
Varkaus,62.3167,27.9167
Varpaisjärvi,63.3667,27.75
Vehmersalmi,62.7667,28.0333
Vesanto,62.9333,26.4167
Vieremä,63.75,27.0167
Virtasalmi,62.15,27.4667
