<SIZE>22
<LANG>EN
<STATE>Lapponia,LL
Enontekiö,68.3833,23.6333
Inari,68.9,27.0167
Kemijärvi,66.6667,27.4167
Keminmaa,65.8167,24.5333
Kittilä,67.6667,24.9
Kolari,67.3333,23.8
Muonio,67.95,23.7
Pelkosenniemi,67.1108,27.5106
Pello,66.7833,23.9167
Posio,66.1,28.15
Pyhäjärvi,67.0714,27.2156
Ranua,65.9167,26.5333
Rovaniemi,66.5,25.7167
Salla,66.8333,28.6667
Savukoski,67.2925,28.1581
Simo,65.6667,25.05
Sodankylä,67.4167,26.6
Tervola,66.0833,24.8
Tornio,65.85,24.1833
Utsjoki,69.8833,27
Ylitornio,66.3,23.6667
Äkäslompolo,67.6,24.15
