<SIZE>197
<LANG>EN
<STATE>Western Finland,LS
Alahärmä,63.2333,22.85
Alajärvi,63,23.8167
Alastaro,60.9333,22.9167
Alavus,62.5833,23.6167
Askainen,60.5667,21.8667
Aura,60.6,22.5667
Dragsfjärd,60.0667,22.4833
Eura,61.1333,22.1333
Eurajoki,61.2,21.7333
Evijärvi,63.3667,23.4833
Finby,60.1167,22.95
Halikko,60.4,23.0833
Halsua,63.4667,24.1667
Hankasalmi,62.3833,26.4333
Harjavalta,61.3167,22.1333
Himanka,64.0667,23.65
Houtskär,60.2167,21.3833
Huittinen,61.1833,22.7
Hämeenkyrö,61.6333,23.2
Ikaalinen,61.7667,23.05
Ilmajoki,62.7333,22.5667
Iniö,60.4,21.4
Isojoki,62.1167,21.9667
Isokyrö,63,22.3167
Jalasjärvi,62.5,22.75
Joutsa,61.7333,26.1167
Jurva,62.6833,21.9833
Juupajoki,61.7833,24.45
Jyväskylä,62.2333,25.7333
Jyväskylän maalaiskunta,62.2833,25.7167
Jämijärvi,61.8167,22.7
Jämsä,61.8667,25.2
Jämsänkoski,61.9167,25.1833
Kaarina,60.4167,22.4167
Kangasala,61.4667,24.0833
Kankaanpää,61.8,22.4167
Kannonkoski,62.9667,25.25
Kannus,63.9,23.9
Karijoki,62.3,21.7
Karinainen,60.6667,22.7667
Karleby,63.8333,23.1167
Karstula,62.8667,24.7833
Karvia,62.1333,22.5667
Kaskinen,62.3833,21.2167
Kauhajoki,62.4333,22.1833
Kauhava,63.1,23.0833
Kaustinen,63.5333,23.7
Kemiö,60.1667,22.75
Keuruu,62.2667,24.7
Kihniö,62.2,23.1833
Kiikala,60.4667,23.5667
Kiikoinen,61.45,22.5833
Kinnula,63.3833,24.95
Kisko,60.2333,23.4833
Kiukainen,61.2167,22.0833
Kivijärvi,63.1167,25.1
Kodisjoki,61.0333,21.6833
Kokemäki,61.25,22.35
Konnevesi,62.6167,26.3167
Korpilahti,62.0167,25.55
Korppoo,60.1667,21.5667
Korsnäs,62.7833,21.2
Kortesjärvi,63.3,23.1667
Kristinestad,62.2833,21.3833
Kronoby,63.7167,23.0333
Kuhmalahti,61.5,24.5667
Kuhmoinen,61.5667,25.1833
Kullaa,61.4667,22.1667
Kuortane,62.8,23.5
Kurikka,62.6167,22.4167
Kustavi,60.55,21.35
Kuusjoki,60.5167,23.2
Kylmäkoski,61.1667,23.6833
Kyyjärvi,63.0333,24.5667
Kälviä,63.8667,23.4333
Köyliö,61.1167,22.35
Laihia,62.9667,22.0167
Laitila,60.8833,21.6833
Lappajärvi,63.2,23.6333
Lappi,61.1,21.8333
Lapua,62.95,23
Larsmo,63.75,22.8
Laukaa,62.4167,25.95
Lavia,61.6,22.6
Lehtimäki,62.7833,23.9167
Leivonmäki,61.9167,26.1167
Lempäälä,61.3167,23.75
Lemu,60.5667,21.9667
Lestijärvi,63.5333,24.65
Lieto,60.5,22.45
Lohtaja,64.0167,23.5
Loimaan Kunta,60.8667,22.9833
Luopioinen,61.3667,24.6667
Luvia,61.35,21.6167
Längelmäki,61.65,22.1
Malax,62.9333,21.5667
Marttila,60.5833,22.9
Masku,60.5667,22.1
Mellilä,60.7667,22.95
Merikarvia,61.85,21.5
Merimasku,60.4833,21.8667
Mietoinen,60.6333,21.9333
Mouhijärvi,61.5,23.0167
Multia,62.4167,24.7833
Korsholm,63.1167,21.7167
Muurame,62.1333,25.6667
Muurla,60.35,23.2833
Mynämäki,60.6667,22
Mänttä,62.0333,24.6333
Naantali,60.45,22.0333
Nakkila,61.3667,22
Nauvo,60.1833,21.9167
Nokia,61.4667,23.5
Noormarkku,61.5833,21.8667
Nousiainen,60.6167,22.1333
Nurmo,62.8333,22.9
Nykarleby,63.5333,22.5333
Närpiö,62.4667,21.3333
Oravais,63.3,22.3833
Oripää,60.85,22.6833
Orivesi,61.6833,24.35
Paimio,60.45,22.7
Pargas,60.3,22.3
Parkano,62.0167,23.0167
Pedersören Kunta,63.65,22.6833
Perho,63.2167,24.4167
Perniö,60.2,23.1333
Pertteli,60.4333,23.2667
Petäjävesi,62.25,25.2
Jakobstad,63.6667,22.7
Pihtipudas,63.3833,25.5667
Piikkiö,60.4333,22.5167
Pirkkala,61.4667,23.5667
Pomarkku,61.7,22
Pori,61.4833,21.7833
Punkalaidun,61.1167,23.1
Pyhäranta,60.95,21.45
Pylkönmäki,62.6667,24.8
Pälkäne,61.3333,24.2667
Pöytyä,60.7667,22.6667
Raisio,60.4833,22.1833
Rauma,61.1333,21.5
Ruovesi,61.9833,24.0833
Rusko,60.5333,22.2167
Rymättylä,60.3667,21.95
Saarijärvi,62.7167,25.2667
Sahalahti,61.4667,24.3167
Salo,60.3833,23.1333
Sauvo,60.35,22.7
Seinäjoki,62.8,22.8333
Siikainen,61.8667,21.8333
Soini,62.8667,24.2167
Somero,60.6167,23.5333
Sumiainen,62.65,26.0333
Suodenniemi,61.5667,22.7833
Suolahti,62.5667,25.8667
Suomusjärvi,60.35,23.65
Säkylä,61.0333,22.3333
Taivassalo,60.5667,21.6
Tampere,61.5,23.75
Tarvasjoki,60.5833,22.7333
Teuva,62.4833,21.7333
Toholampi,63.7667,24.25
Toijala,61.1667,23.8667
Toivakka,62.1,26.0833
