<SIZE>50
<LANG>EN
<STATE>Oulu,OU
Alavieska,64.1667,24.3
Haapajärvi,63.75,25.3333
Haapavesi,64.1333,25.3667
Hailuoto,65,24.7167
Haukipudas,65.1833,25.35
Hyrynsalmi,64.6667,28.5333
Ii,65.3167,25.3667
Kajaani,64.2333,27.6833
Kalajoki,64.25,23.95
Kempele,64.9167,25.5
Kestilä,64.35,26.2833
Kiiminki,65.1333,25.7333
Kuhmo,64.1333,29.5167
Kuivaniemi,65.5833,25.1833
Kuusamo,65.9667,29.1833
Kärsämäki,63.9667,25.7667
Liminka,64.8167,25.4
Lumijoki,64.8333,25.1833
Merijärvi,64.3,24.45
Muhos,64.8,25.9833
Nivala,63.9167,24.9667
Oulainen,64.2667,24.8
Oulu,65.0167,25.4667
Oulunsalo,64.9333,25.4167
Paltamo,64.4167,27.8333
Piippola,64.1667,25.9667
Pudasjärvi,65.3833,26.9167
Pulkkila,64.2667,25.8667
Puolanka,64.8667,27.6667
Pyhäjoki,64.4667,24.2333
Pyhäjärvi,63.6667,25.9
Pyhäntä,64.1,26.3167
Raahe,64.6833,24.4833
Rantsila,64.5167,25.65
Reisjärvi,63.6167,24.9
Ristijärvi,64.5,28.2167
Ruukki,64.6667,25.1
Sievi,63.9,24.5
Siikajoki,64.8333,24.7333
Sotkamo,64.1333,28.4167
Suomussalmi,64.8833,29.0833
Taivalkoski,65.5667,28.25
Tyrnävä,64.7667,25.65
Utajärvi,64.75,26.3833
Vaala,64.5667,26.8333
Vihanti,64.4833,25
Vuolijoki,64.1833,27.0167
Yli-Ii,65.3667,25.8333
Ylikiiminki,65.0833,26.25
Ylivieska,64.0833,24.55
