<SIZE>27
<LANG>EN,FR
<STATE>Alsace,AA
Bischheim,Bischheim,48.6167,7.75
Bischwiller,Bischwiller,48.7667,7.86667
Cernay,Cernay,47.8097,7.17699
Colmar,Colmar,48.0833,7.36667
Guebwiller,Guebwiller,47.9167,7.2
Haguenau,Haguenau,48.8156,7.79051
Hœnheim,Hœnheim,48.6167,7.75
Illkirch-Graffenstaden,Illkirch-Graffenstaden,48.5333,7.71667
Illzach,Illzach,47.7833,7.33333
Kingersheim,Kingersheim,47.8,7.33333
Lingolsheim,Lingolsheim,48.5815,7.70245
Mulhouse,Mulhouse,47.75,7.33333
Obernai,Obernai,48.4667,7.48333
Ostwald,Ostwald,48.55,7.71667
Pfetterhouse,Pfetterhouse,47.5,7.16667
Riedisheim,Riedisheim,47.75,7.36667
Rixheim,Rixheim,47.7667,7.4
Saales,Saales,48.35,7.11667
Saint-Louis,Saint-Louis,47.5833,7.56667
Sarre-Union,Sarre-Union,48.9333,7.08333
Saverne,Saverne,48.7416,7.36221
Schiltigheim,Schiltigheim,48.6,7.75
Strasbourg,Strasbourg,48.5833,7.75
Sélestat,Sélestat,48.2667,7.45
Wissembourg,Wissembourg,49.0333,7.95
Wittelsheim,Wittelsheim,47.8095,7.24154
Wittenheim,Wittenheim,47.8167,7.33333
