<SIZE>32
<LANG>EN,FR
<STATE>Basse-Normandie,BN
Alençon,Alençon,48.4333,0.0833333
Argentan,Argentan,48.75,-0.0166667
Aunay-sur-Odon,Aunay-sur-Odon,49.0167,-0.633333
Barneville-Plage,Barneville-Plage,49.3667,-1.76667
Bayeux,Bayeux,49.2667,-0.7
Bretoncelles,Bretoncelles,48.4333,0.883333
Caen,Caen,49.1811,-0.371218
Ceton,Ceton,48.2167,0.75
Cherbourg-Octeville,Cherbourg-Octeville,49.6398,-1.61636
Coutances,Coutances,49.05,-1.43333
Flers,Flers,48.75,-0.566667
Grandcamp-Maisy,Grandcamp-Maisy,49.3833,-1.03333
Granville,Granville,48.8333,-1.6
Honfleur,Honfleur,49.4167,0.233333
Hérouville-Saint-Clair,Hérouville-Saint-Clair,49.2,-0.316667
La Bloutière,La Bloutière,48.8667,-1.23333
Le Bosc-Renoult,Le Bosc-Renoult,48.9167,0.316667
Lisieux,Lisieux,49.15,0.233333
Magny-le-Désert,Magny-le-Désert,48.5701,-0.327315
Mondeville,Mondeville,49.1667,-0.316667
Mortagne-au-Perche,Mortagne-au-Perche,48.5167,0.55
Octeville,Octeville,49.6167,-1.65
Passais,Passais,48.5167,-0.766667
Picauville,Picauville,49.3833,-1.4
Pontorson,Pontorson,48.55,-1.51667
Rai,Rai,48.75,0.583333
Saint-Hilaire-du-Harcouët,Saint-Hilaire-du-Harcouët,48.5833,-1.1
Saint-Lô,Saint-Lô,49.1167,-1.08333
Tourlaville,Tourlaville,49.6333,-1.56667
Vendeuvre,Vendeuvre,48.9833,-0.0833333
Vire,Vire,48.8333,-0.883333
Équeurdreville-Hainneville,Équeurdreville-Hainneville,49.6487,-1.65306
