<SIZE>49
<LANG>EN,FR
<STATE>Brittany,BT
Auray,Auray,47.6667,-2.98333
Baguer-Pican,Baguer-Pican,48.55,-1.7
Brest,Brest,48.4,-4.48333
Bruz,Bruz,48.0333,-1.75
Carhaix-Plouguer,Carhaix-Plouguer,48.2759,-3.57326
Concarneau,Concarneau,47.8667,-3.91667
Dinan,Dinan,48.45,-2.03333
Dinard,Dinard,48.6333,-2.06667
Douarnenez,Douarnenez,48.0954,-4.32904
Fougères,Fougères,48.35,-1.2
Férel,Férel,47.4833,-2.35
Grand-Fougeray,Grand-Fougeray,47.7167,-1.73333
Guingamp,Guingamp,48.55,-3.15
Guipavas,Guipavas,48.4333,-4.4
Hennebont,Hennebont,47.8,-3.28333
Lamballe,Lamballe,48.4667,-2.51667
Landerneau,Landerneau,48.45,-4.25
Lanester,Lanester,47.75,-3.35
Lannion,Lannion,48.7333,-3.46667
Le Guilvinec,Guilvinec,47.7986,-4.28111
Le Palais,Le Palais,47.35,-3.15
Le Relecq-Kerhuon,Le Relecq-Kerhuon,48.4,-4.4
Les Brulais,Les Brulais,47.8833,-2.03333
Lorient,Lorient,47.75,-3.36667
Loudéac,Loudéac,48.1667,-2.75
Merdrignac,Merdrignac,48.2,-2.41667
Montauban-de-Bretagne,Montauban-de-Bretagne,48.2,-2.05
Morlaix,Morlaix,48.5833,-3.83333
Paimpol,Paimpol,48.7667,-3.05
Pleyben,Pleyben,48.2333,-3.96667
Ploemeur,Ploemeur,47.7333,-3.43333
Plogoff,Plogoff,48.0333,-4.66667
Ploufragan,Ploufragan,48.4833,-2.78333
Plougastel-Daoulas,Plougastel-Daoulas,48.3667,-4.36667
Plouzané,Plouzané,48.3833,-4.61667
Ploërmel,Ploërmel,47.9333,-2.4
Plérin,Plérin,48.5333,-2.78333
Pontivy,Pontivy,48.0667,-2.98333
Quimper,Quimper,48,-4.1
Quimperlé,Quimperlé,47.8667,-3.55
Redon,Redon,47.65,-2.08333
Rennes,Rennes,48.0833,-1.68333
Retiers,Retiers,47.9167,-1.38333
Saint-Brieuc,Saint-Brieuc,48.5167,-2.78333
Saint-Malo,Saint-Malo,48.65,-2.01667
Saint-Nicolas-du-Pélem,Saint-Nicolas-du-Pélem,48.3167,-3.16667
Sens-de-Bretagne,Sens-de-Bretagne,48.3333,-1.55
Vannes,Vannes,47.6667,-2.75
Vitré,Vitré,48.1333,-1.2
