<SIZE>20
<LANG>EN,FR
<STATE>Franche-Comté,FC
Audincourt,Audincourt,47.4833,6.83333
Baume-les-Dames,Baume-les-Dames,47.35,6.36667
Belfort,Belfort,47.6333,6.86667
Besançon,Besançon,47.25,6.03333
Champagnole,Champagnole,46.75,5.91667
Charmauvillers,Charmauvillers,47.2333,6.91667
Dole,Dole,47.1,5.5
Gray,Gray,47.45,5.58333
Héricourt,Héricourt,47.5833,6.75
Jussey,Jussey,47.8167,5.9
Lons-le-Saunier,Lons-le-Saunier,46.6667,5.55
Luxeuil-les-Bains,Luxeuil-les-Bains,47.8167,6.38333
Montbéliard,Montbéliard,47.5167,6.8
Morteau,Morteau,47.0667,6.61667
Mouchard,Mouchard,46.9667,5.8
Pontarlier,Pontarlier,46.9,6.36667
Saint-Amour,Saint-Amour,46.4333,5.35
Valentigney,Valentigney,47.4667,6.83333
Valfin-lès-Saint-Claude,Valfin-lès-Saint-Claude,46.4333,5.85
Vesoul,Vesoul,47.6333,6.16667
