<SIZE>47
<LANG>EN,FR
<STATE>Lorraine,LE
Amnéville,Amnéville,49.2667,6.15
Bar-le-Duc,Bar-le-Duc,48.7833,5.16667
Behren-lès-Forbach,Behren-lès-Forbach,49.1667,6.95
Bitche,Bitche,49.05,7.43333
Creutzwald,Creutzwald,49.2,6.68333
Dieuze,Dieuze,48.8167,6.71667
Dommary-Baroncourt,Dommary-Baroncourt,49.2833,5.7
Fameck,Fameck,49.3,6.11667
Florange,Florange,49.3333,6.11667
Fontenoy-le-Château,Fontenoy-le-Château,47.9667,6.2
Forbach,Forbach,49.1833,6.9
Freyming-Merlebach,Freyming-Merlebach,49.15,6.78333
Gérardmer,Gérardmer,48.0667,6.88333
Hayange,Hayange,49.3333,6.05
Jarville-la-Malgrange,Jarville-la-Malgrange,48.6667,6.21667
Lamarche,Lamarche,48.0667,5.78333
Laxou,Laxou,48.6833,6.15
Les Islettes,Les Islettes,49.1,5
Longwy,Longwy,49.5167,5.76667
Lunéville,Lunéville,48.6,6.5
Marly,Marly,49.0667,6.15
Metz,Metz,49.1333,6.16667
Mirecourt,Mirecourt,48.3,6.13333
Montigny-lès-Metz,Montigny-lès-Metz,49.1,6.15
Nancy,Nancy,48.6833,6.2
Neufchâteau,Neufchâteau,48.35,5.7
Pont-à-Mousson,Pont-à-Mousson,48.9,6.06667
Rombas,Rombas,49.25,6.08333
Saint-Avold,Saint-Avold,49.1,6.7
Saint-Dié-des-Vosges,Saint-Dié-des-Vosges,48.2833,6.95
Saint-Max,Saint-Max,48.7,6.21667
Saint-Mihiel,Saint-Mihiel,48.9,5.55
Sarrebourg,Sarrebourg,48.7333,7.05
Sarreguemines,Sarreguemines,49.11,7.06747
Stenay,Stenay,49.4833,5.18333
Stiring-Wendel,Stiring-Wendel,49.2,6.93333
Thionville,Thionville,49.3667,6.16667
Toul,Toul,48.6833,5.9
Tréveray,Tréveray,48.6167,5.4
Vandœuvre-lès-Nancy,Vandœuvre-lès-Nancy,48.65,6.18333
Verdun,Verdun,49.1667,5.38333
Vexaincourt,Vexaincourt,48.5,7.05
Villers-lès-Nancy,Villers-lès-Nancy,48.6667,6.15
Waldwisse,Waldwisse,49.4167,6.53333
Woippy,Woippy,49.15,6.15
Yutz,Yutz,49.3557,6.1926
Épinal,Épinal,48.1833,6.45
