<SIZE>86
<LANG>EN,FR
<STATE>Nord-Pas-de-Calais,NP
Aire-sur-la-Lys,Aire-sur-la-Lys,50.6333,2.4
Aniche,Aniche,50.3333,3.25
Annœullin,Annœullin,50.5333,2.93333
Anzin,Anzin,50.3667,3.5
Armentières,Armentières,50.6833,2.88333
Arras,Arras,50.2833,2.78333
Auchel,Auchel,50.5,2.46667
Avion,Avion,50.4,2.83333
Bailleul,Bailleul,50.7333,2.73333
Berck-Plage,Berck-Plage,50.4,1.56667
Bondues,Bondues,50.7,3.1
Boulogne-sur-Mer,Boulogne-sur-Mer,50.7167,1.61667
Bruay-la-Buissière,Bruay-la-Buissière,50.4833,2.55
Bully-les-Mines,Bully-les-Mines,50.4333,2.71667
Béthune,Béthune,50.5333,2.63333
Calais,Calais,50.95,1.83333
Cambrai,Cambrai,50.1667,3.23333
Carvin,Carvin,50.4833,2.96667
Caudry,Caudry,50.1333,3.41667
Comines,Comines,50.7667,3.01667
Coudekerque-Branche,Coudekerque-Branche,51.0333,2.4
Courrières,Courrières,50.45,2.93333
Croix,Croix,50.6667,3.15
Denain,Denain,50.3333,3.38333
Douai,Douai,50.3667,3.06667
Douchy-les-Mines,Douchy-les-Mines,50.3,3.38333
Dunkirk,Dunkerque,51.05,2.36667
Faches-Thumesnil,Faches-Thumesnil,50.5833,3.06667
Fourmies,Fourmies,50,4.05
Frévent,Frévent,50.2667,2.28333
Grande-Synthe,Grande-Synthe,51.0125,2.28333
Gravelines,Gravelines,50.9833,2.11667
Halluin,Halluin,50.7833,3.13333
Harnes,Harnes,50.45,2.9
Haubourdin,Haubourdin,50.6,2.98333
Hautmont,Hautmont,50.25,3.93333
Hazebrouck,Hazebrouck,50.7167,2.53333
Hem,Hem,50.65,3.2
Hénin-Beaumont,Hénin-Beaumont,50.4167,2.93333
Isbergues,Isbergues,50.6167,2.45
Jeumont,Jeumont,50.3,4.1
La Madeleine,La Madeleine,50.65,3.06667
Lambersart,Lambersart,50.65,3.03333
Le Portel,Le Portel,50.7,1.56667
Lens,Lens,50.4333,2.83333
Lille,Lille,50.6333,3.06667
Lillers,Lillers,50.5667,2.48333
Liévin,Liévin,50.4167,2.76667
Lomme,Lomme,50.65,2.98333
Longuenesse,Longuenesse,50.7333,2.23333
Loos,Loos,50.6167,3.01667
Lys-lez-Lannoy,Lys-lez-Lannoy,50.6667,3.21667
Marcq-en-Barœul,Marcq-en-Barœul,50.6667,3.08333
Marly,Marly,50.35,3.55
Marquette-lez-Lille,Marquette-lez-Lille,50.6763,3.06613
Maubeuge,Maubeuge,50.2833,3.96667
Mons-en-Barœul,Mons-en-Barœul,50.6333,3.11667
Montigny-en-Gohelle,Montigny-en-Gohelle,50.4333,2.93333
Mouvaux,Mouvaux,50.7,3.13333
Méricourt,Méricourt,50.4,2.86667
Nœux-les-Mines,Nœux-les-Mines,50.4833,2.66667
Oignies,Oignies,50.4667,2.98333
Outreau,Outreau,50.7,1.58333
Raismes,Raismes,50.3833,3.48333
Rocquigny,Rocquigny,50.05,2.91667
Ronchin,Ronchin,50.6,3.1
Roncq,Roncq,50.75,3.11667
Roubaix,Roubaix,50.7,3.16667
Saint-Amand-les-Eaux,Saint-Amand-les-Eaux,50.4333,3.43333
Saint-Martin-Boulogne,Saint-Martin-Boulogne,50.7167,1.63333
Saint-Omer,Saint-Omer,50.75,2.25
Saint-Pol-sur-Mer,Saint-Pol-sur-Mer,51.0333,2.35
Saint-Saulve,Saint-Saulve,50.3667,3.55
Sallaumines,Sallaumines,50.4167,2.86667
Seclin,Seclin,50.55,3.03333
Sin-le-Noble,Sin-le-Noble,50.3667,3.11667
Somain,Somain,50.3667,3.28333
Tourcoing,Tourcoing,50.7167,3.15
Valenciennes,Valenciennes,50.35,3.53333
Vieux-Condé,Vieux-Condé,50.45,3.56667
Villeneuve-d'Ascq,Villeneuve-d'Ascq,50.6167,3.16664
Wailly,Wailly,50.5167,2.06667
Wasquehal,Wasquehal,50.6667,3.15
Wattignies,Wattignies,50.5833,3.05
Wattrelos,Wattrelos,50.7,3.21667
Étaples,Étaples,50.5167,1.65
