<SIZE>1245
<LANG>EN,FR
Alsace,Alsace,AA
Aquitaine,Aquitaine,AQ
Auvergne,Auvergne,AU
Lower Normandy,Basse-Normandie,BN
Burgundy,Bourgogne,BG
Brittany,Bretagne,BT
Centre,Centre,CN
Champagne-Ardenne,Champagne-Ardenne,CG
Corsica,Corse,CE
Franche-Comté,Franche-Comté,FC
Upper Normandy,Haute-Normandie,HT
Languedoc-Roussillon,Languedoc-Roussillon,LU
Limousin,Limousin,LM
Lorraine,Lorraine,LE
Midi-Pyrénées,Midi-Pyrénées,MP
Nord-Pas-de-Calais,Nord-Pas-de-Calais,NP
Picardy,Picardie,PI
Poitou-Charentes,Poitou-Charentes,PT
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,PR
Rhône-Alpes,Rhône-Alpes,RA
Loire Country,Pays-de-la-Loire,PL
Île-de-France,Île-de-France,IF
