<SIZE>268
<LANG>EN
<STATE>Scotland,SC
Aberdeen,57.1333,-2.1
Aboyne,57.0755,-2.78023
Airdrie,55.85,-3.98333
Alexandria,55.9833,-4.6
Alford,57.2167,-2.7
Alloa,56.1167,-3.8
Alness,57.6833,-4.25
Alva,56.15,-3.8
Alyth,56.6167,-3.21667
Annan,54.9833,-3.26667
Anstruther,56.2167,-2.7
Arbroath,56.55,-2.58333
Armadale,55.8833,-3.7
Auchinleck,55.4667,-4.3
Auchterarder,56.3,-3.7
Auchtermuchty,56.2833,-3.21667
Aviemore,57.2,-3.83333
Ayr,55.45,-4.61667
Balerno,55.8844,-3.33975
Ballingry,56.15,-3.33333
Banchory,57.05,-2.51667
Banff,57.6667,-2.53333
Bannockburn,56.0833,-3.88333
Barrhead,55.7833,-4.38333
Bathgate,55.9,-3.63333
Bearsden,55.9167,-4.35
Beith,55.7333,-4.63333
Bellshill,55.8167,-4.01667
Biggar,55.6167,-3.51667
Bishopbriggs,55.9,-4.23333
Bishopton,55.9,-4.5
Blackburn,55.8667,-3.63333
Blairgowrie,56.5833,-3.33333
Bonhill,55.9833,-4.56667
Bonnybridge,56,-3.88333
Bonnyrigg,55.8667,-3.1
Bothwell,55.8,-4.06667
Bowmore,55.75,-6.28333
Brae,60.3833,-1.35
Brechin,56.7333,-2.65
Bridge of Allan,56.15,-3.95
Bridge of Earn,56.3333,-3.4
Bridge of Weir,55.85,-4.58333
Brora,58.0167,-3.86667
Broxburn,55.9333,-3.46667
Buckhaven,56.1667,-3.03333
Buckie,57.6667,-2.96667
Burntisland,56.05,-3.23333
Cairneyhill,56.05,-3.53333
Callander,56.25,-4.23333
Campbeltown,55.4333,-5.63333
Cardenden,56.1333,-3.25
Carluke,55.7167,-3.83333
Carnoustie,56.5,-2.71667
Castle Douglas,54.9333,-3.95
Chapelhall,55.8333,-3.93333
Chryston,55.9,-4.1
Clackmannan,56.1,-3.75
Cleland,55.8,-3.9
Clydebank,55.9,-4.4
Cockenzie,55.95,-2.95
Colinton,55.9074,-3.25609
Comrie,56.3667,-4
Conon Bridge,57.5667,-4.43333
Coupar Angus,56.55,-3.26667
Cowdenbeath,56.1167,-3.35
Cowie,56.0667,-3.86667
Coylton,55.4333,-4.48333
Crieff,56.3667,-3.83333
Crossford,56.05,-3.5
Crossgates,56.0667,-3.38333
Crosshouse,55.6333,-4.55
Cumbernauld,55.95,-3.98333
Cumnock,55.45,-4.26667
Cupar,56.3167,-3.01667
Currie,55.8964,-3.30845
Dalbeattie,54.9333,-3.83333
Dalkeith,55.8667,-3.06667
Dalry,55.6833,-4.71667
Darvel,55.5833,-4.28333
Denny,56.0167,-3.88333
Dingwall,57.6,-4.45
Dollar,56.15,-3.66667
Dreghorn,55.6,-4.61667
Dumbarton,55.95,-4.56667
Dunbar,56,-2.51667
Dunblane,56.2,-3.96667
Dundee,56.5,-2.96667
Dundonald,55.5667,-4.58333
Dunfermline,56.0833,-3.46667
Dunipace,56.0167,-3.91667
Dunoon,55.95,-4.95
Duns,55.7667,-2.35
Duntocher,55.9333,-4.41667
Dyce,57.2,-2.18333
Eaglesham,55.7333,-4.26667
East Calder,55.8919,-3.46372
East Kilbride,55.7667,-4.16667
East Linton,55.9833,-2.65
Edinburgh,55.95,-3.2
Elderslie,55.8333,-4.46667
Elgin,57.65,-3.33333
Ellon,57.35,-2.08333
Eyemouth,55.8667,-2.1
Falkirk,56,-3.76667
Fauldhouse,55.8167,-3.71667
Forfar,56.65,-2.88333
Forres,57.6,-3.61667
Fort Augustus,57.1333,-4.68333
Fort William,56.8165,-5.11208
Forth,55.75,-3.68333
Fraserburgh,57.6833,-2.01667
Galashiels,55.6,-2.81667
Galston,55.5833,-4.38333
Giffnock,55.8,-4.28333
Girvan,55.2333,-4.86667
Glasgow,55.8333,-4.25
Glenrothes,56.2,-3.18333
Gorebridge,55.8333,-3.05
Gourock,55.95,-4.83333
Grangemouth,56.0167,-3.73333
Grantown on Spey,57.3167,-3.61667
Greenock,55.9333,-4.75
Gretna,54.9833,-3.06667
Gullane,56.0333,-2.81667
Haddington,55.9333,-2.76667
Hamilton,55.7667,-4.03333
Harthill,55.8667,-3.75
Hawick,55.4333,-2.78333
Helensburgh,56.0167,-4.73333
High Blantyre,55.7667,-4.1
High Valleyfield,56.05,-3.6
Holytown,55.8167,-3.95
Houston,55.8667,-4.55
Huntly,57.45,-2.78333
Innerleithen,55.6167,-3.06667
Inveraray,56.2333,-5.06667
Inverbervie,56.85,-2.26667
Invergordon,57.6833,-4.18333
Inverkeithing,56.0333,-3.38333
Inverness,57.4667,-4.23333
Inverurie,57.2667,-2.36667
Irvine,55.6,-4.66667
Jedburgh,55.48,-2.552
Johnstone,55.8333,-4.5
Keith,57.5363,-2.94811
Kelso,55.5833,-2.43333
Kelty,56.1333,-3.38333
Kemnay,57.2333,-2.45
Kennoway,56.2,-3.05
Kilbarchan,55.8333,-4.55
Kilbirnie,55.75,-4.7
Kilmacolm,55.8833,-4.61667
Kilmarnock,55.6117,-4.49581
Kilmaurs,55.6333,-4.53333
Kilsyth,55.9667,-4.05
Kilwinning,55.65,-4.71667
Kincardine,56.0667,-3.71667
Kinghorn,56.0667,-3.16667
Kinloss,57.6167,-3.56667
Kinross,56.2,-3.41667
Kintore,57.2167,-2.35
Kirk of Shotts,55.8333,-3.85
Kirkcaldy,56.1167,-3.16667
Kirkcudbright,54.8333,-4.03333
Kirkintilloch,55.9167,-4.16667
Kirkliston,55.95,-3.4
Kirkwall,58.9667,-2.95
Kirriemuir,56.6667,-3
Kyle of Lochalsh,57.2839,-5.71117
Lanark,55.6737,-3.7817
Langholm,55.15,-3
Largs,55.7833,-4.85
Larkhall,55.7333,-3.96667
Law,55.75,-3.88333
Lennoxtown,55.9667,-4.2
Lerwick,60.15,-1.15
Lesmahagow,55.6167,-3.9
Leuchars,56.3833,-2.88333
Leven,56.2,-3
Linlithgow,55.9764,-3.60364
Livingston,55.8833,-3.53333
Loanhead,55.8667,-3.15
Locharbriggs,55.1,-3.58333
Lochgelly,56.1333,-3.31667
Lochgilphead,56.0333,-5.41667
Lochwinnoch,55.7833,-4.63333
Lockerbie,55.1167,-3.35
Longniddry,55.9667,-2.88333
