<SIZE>91
<LANG>EN
<STATE>Wales,WA
Abercanaid,51.7236,-3.36611
Abercarn,51.6472,-3.13694
Aberdare,51.715,-3.45417
Abergavenny,51.8333,-3.01667
Abergele,53.2833,-3.58333
Aberkenfig,51.54,-3.59556
Aberporth,52.1333,-4.55
Abertillery,51.7333,-3.13167
Abertridwr,51.5958,-3.26833
Aberystwyth,52.4167,-4.06667
Ammanford,51.7919,-3.98917
Bangor,53.2667,-4.11667
Bargoed,51.6833,-3.23333
Barry,51.4067,-3.26944
Beddau,51.5575,-3.35611
Bedwas,51.5953,-3.19444
Blackwood,51.6678,-3.2075
Blaenau-Ffestiniog,52.9946,-3.93697
Blaenavon,51.7833,-3.08333
Brecon,51.95,-3.38333
Briton Ferry,51.6333,-3.81667
Brymbo,53.0667,-3.06667
Brynamman,51.8,-3.86667
Brynmawr,51.8,-3.18333
Buckley,53.1667,-3.08333
Burry Port,51.6883,-4.24444
Cardiff,51.5,-3.2
Caerleon,51.6133,-2.95889
Caernarfon,53.15,-4.26667
Caldicot,51.5903,-2.75028
Carmarthen,51.8592,-4.31167
Newport,51.5833,-2.98333
Chepstow,51.6372,-2.67694
Clydach,51.6833,-3.9
Coedpoeth,53.05,-3.06667
Coity,51.5217,-3.55306
Colwyn Bay,53.3,-3.75
Cwmbran,51.6531,-3.02667
Deganwy,53.2833,-3.83333
Denbigh,53.1833,-3.41667
Dinas Powys,51.4333,-3.21667
Dolgelly,52.75,-3.88333
Ebbw Vale,51.7833,-3.2
Ferndale,51.6606,-3.4475
Flint,53.2667,-3.16667
Gelligaer,51.6644,-3.25611
Gorseinon,51.6656,-4.04528
Gresford,53.0833,-2.96667
Hawarden,53.1833,-3.03333
Holyhead,53.3062,-4.63211
Holywell,53.2833,-3.25
Haverfordwest,51.8017,-4.97083
Lampeter,52.1167,-4.06667
Llandrindod Wells,52.2333,-3.38333
Llandudno,53.3333,-3.83333
Llanelli,51.6761,-4.15667
Llanharan,51.5403,-3.44194
Llantrisant,51.5403,-3.37389
Llantwit Major,51.4056,-3.48278
Maesteg,51.605,-3.65083
Magor,51.5794,-2.83139
Merthyr Tydfil,51.75,-3.38333
Milford Haven,51.7167,-5.03333
Neath,51.6561,-3.80222
Nelson,51.6533,-3.28444
Newtown,52.5167,-3.3
Pembroke,51.6761,-4.91583
Pembroke Dock,51.6919,-4.95083
Penarth,51.4347,-3.18
Pencoed,51.5219,-3.49944
Pontypool,51.7011,-3.04444
Pontardulais,51.7122,-4.03667
Pontypridd,51.6014,-3.34472
Porthcawl,51.4797,-3.70611
Prestatyn,53.3333,-3.41667
Presteign,52.2833,-3
Pwllheli,52.8833,-4.41667
Pyle,51.5167,-3.7
Rhondda,51.65,-3.48333
Rhosllanerchrugog,53,-3.06667
Ruthin,53.1167,-3.3
Rhyl,53.3167,-3.5
Rhymney,51.7667,-3.28333
Risca,51.6144,-3.10028
Swansea,51.6208,-3.94323
Tonyrefail,51.5836,-3.42528
Tredegar,51.7833,-3.25
Welshpool,52.6667,-3.13333
Wrexham,53.05,-3
Mold,53.1667,-3.13333
Ystalyfera,51.75,-3.78333
