<SIZE>30
<LANG>EN
<STATE>Aitolía kai Akarnanía,AA
Agrinio,38.6214,21.4078
Amfilochía,38.8594,21.1664
Angelókastron,38.5667,21.3
Archontochórion,38.7,21.0333
Astakós,38.5356,21.0813
Boúkka,38.9333,21.15
Empesós,39.0225,21.3189
Kalývia,38.6167,21.3
Kandíla,38.7,20.9333
Karaïskákis,38.5815,21.0917
katafygio,38.517,21.9133
Menídion,39.0419,21.1178
Mesolóngion,38.3692,21.4292
Mýtikas,38.6667,20.9333
Neochórion,38.4167,21.2833
Paliámpela,38.9167,20.95
Perdikákion,39.0483,21.3617
Perithórion,38.3833,21.5667
Plagiá,38.8,20.7667
Pogoniá,38.7833,20.8333
Potamiá,39.0011,21.3094
Pteléa,39.0017,21.2417
Pálairos,38.7833,20.8833
Sardínia,38.8833,21.2
Spoláïta,38.7,21.35
Stamná,38.5167,21.2833
Trýfos,38.8333,21.0667
Vasilópoulon,38.6,21.0833
Vrouvianá,39.1075,21.4092
Vónitsa,38.9164,20.8864
