<SIZE>88
<LANG>EN
<STATE>Kérkyra,CF
Agrafoí,39.7633,19.7386
Agrós,39.7233,19.7214
Alepoú,39.6103,19.8889
Antipernoí,39.7742,19.7411
Argyrádes,39.4369,19.9758
Benítsai,39.5456,19.9072
Chlomós,39.4567,19.9553
Chorepískopoi,39.7192,19.7403
Doukádes,39.69,19.7389
Dragotiná,39.3828,20.0839
Drosáton,39.7325,19.7344
Episkopianá,39.4956,19.9186
Epískepsis,39.7597,19.8136
Ereikoússa,39.8808,19.5914
Evropoúloi,39.625,19.8614
Gardeládes,39.6794,19.7439
Gastoúrion,39.56,19.8975
Giannádes,39.63,19.7594
Gouviá,39.6503,19.8433
Gáïos,39.1972,20.1856
Kalafatiónes,39.5781,19.8553
Kanakádes,39.6489,19.7617
Kanálion,39.6056,19.8925
Karousádes,39.7808,19.7411
Kassiópi,39.7886,19.9186
Kastanéa,39.5925,19.8833
Kastellánoi,39.5667,19.8653
Kavalloúrion,39.7744,19.7503
Kavvadádes,39.7372,19.6653
Klimatiá,39.7392,19.7825
Kokkínion,39.6106,19.8103
Kompítsion,39.6008,19.8694
Kontokálion,39.6453,19.8494
Kouspádes,39.4544,19.9775
Kritiká,39.3933,20.0522
Kríni,39.6853,19.6844
Kynopiástai,39.5694,19.8825
Káto Garoúna,39.5411,19.8581
Káto Korakiána,39.6897,19.8253
Kávos,39.3839,20.1133
Corfu,39.62,19.9197
Lefkímmi,39.4233,20.0689
Liapádes,39.6694,19.7364
Lákones,39.6811,19.7072
Magouládes,39.7575,19.6772
Marathiás,39.4278,19.9944
Moraitika,39.4864,19.9253
Neochórion,39.3925,20.0783
Nýmfai,39.7533,19.7822
Othonoí,39.8436,19.4097
Palaiochórion,39.39,20.0675
Pentátion,39.5325,19.8433
Perivólion,39.4206,20.0147
Perouládes,39.7867,19.6717
Petrití,39.4536,20
Plátonas,39.7694,19.7756
Potamós,39.625,19.8756
Págoi,39.7078,19.7036
Pélekas,39.5917,19.8233
Rachtádes,39.7442,19.695
Róda,39.7886,19.7875
Sidárion,39.7858,19.7067
Sinarádes,39.5647,19.8458
Skriperón,39.6986,19.77
Sokrákion,39.715,19.7897
Spartýlas,39.72,19.8389
Strongylí,39.5058,19.9058
Valaneíon,39.7325,19.7542
Varypatádes,39.5889,19.8467
Velonádes,39.7528,19.7086
Virós,39.5839,19.8819
Vitaládes,39.4106,20.0217
Vragkaniótika,39.4672,19.9122
Vátos,39.6086,19.7886
Xanthátai,39.7522,19.7639
Zygós,39.7256,19.7989
Áfra,39.6197,19.8578
Ágioi Doúloi,39.745,19.7572
Ágioi Déka,39.5558,19.8847
Ágios Ioánnis,39.6158,19.85
Ágios Matthaíos,39.4958,19.8731
Ágios Márkos,39.7075,19.8203
Ágios Nikólaos,39.4428,19.9956
Ágios Prokópios,39.5733,19.8767
Áno Garoúna,39.5486,19.8694
Áno Korakiána,39.7078,19.7917
Áno Pavliána,39.52,19.8572
Ýpsos,39.6947,19.8367
