<SIZE>21
<LANG>EN
<STATE>Dodekánisos,DO
Afántou,36.3,28.15
Agía Marína,37.15,26.8667
Antimácheia,36.8108,27.0997
Archángelos,36.1833,28.1333
Astypálaia,36.55,26.35
Kardámaina,36.7814,27.1425
Kos,36.8933,27.2889
Kremastí,36.4,28.1167
Kálymnos,36.95,26.9833
Kárpathos,35.5,27.2333
Kéfalos,36.7453,26.9589
Lagoúdi Zía,36.8486,27.2003
Linopótis,36.8694,27.1742
Lárdos,36.1,28.0167
Lindos,36.0906,28.0844
Mastichárion,36.8489,27.0756
Pylíon,36.8478,27.1614
Rhodes,36.4408,28.2225
Sými,36.6133,27.8408
Triánta,36.4,28.1667
Zipárion,36.875,27.2042
