<SIZE>72
<LANG>EN
<STATE>Imathía,IM
Agkathiá,40.5558,22.4708
Agía Marína,40.5978,22.2153
Agía Triás,40.5483,22.4214
Agía Varvára,40.4928,22.2433
Alexándreia,40.6267,22.4442
Angelochórion,40.6783,22.1992
Archángelos,40.6806,22.2519
Arkochórion,40.5881,22.0719
Asómata,40.4836,22.2336
Charíessa,40.6519,22.1667
Diavatós,40.5456,22.2669
Dáskion,40.3328,22.1667
Eirinoúpoli,40.6781,22.1928
Episkopí,40.6883,22.1356
Fyteía,40.5628,22.1094
Georgianoí,40.4669,22.1611
Giannakochórion,40.6719,22.0561
Kalochórion,40.5992,22.3536
Kampochórion,40.6089,22.3692
Kavásila,40.5897,22.3325
Kefalochórion,40.5683,22.3653
Kleidíon,40.5667,22.5903
Kopanós,40.6336,22.1303
Koryfí,40.6,22.5
Kouloúra,40.5453,22.3181
Koumariá,40.5169,22.0878
Krýa Vrýsi,40.6872,22.3022
Kypséli,40.5561,22.4936
Káto Vérmion,40.5503,22.0264
Lefkádia,40.6531,22.1183
Leianovérgion,40.6378,22.5031
Loutrós,40.5883,22.3994
Makrochórion,40.5514,22.25
Marína,40.6961,22.1008
Melíki,40.5167,22.3953
Monóspita,40.6172,22.1769
Mési,40.5275,22.265
Neochórion,40.6661,22.4458
Neókastron,40.5044,22.4136
Niséllion,40.5942,22.4597
Nisíon,40.6369,22.3878
Náousa,40.6294,22.0681
Néa Lykógianni,40.5728,22.2386
Néa Nikomídeia,40.5875,22.2503
Palaiochóra,40.5919,22.4953
Palaión Skyllítsion,40.6067,22.3289
Palaión Zervochórion,40.6511,22.2331
Palatítsia,40.4806,22.3411
Patrís,40.5611,22.1861
Platý,40.6403,22.5339
Plátanos,40.5647,22.5494
Polyplátanos,40.6825,22.1914
Prasináda,40.5606,22.5119
Pródromos,40.5508,22.3967
Rizómata,40.3472,22.2036
Rodochórion,40.6919,22.0172
Ráchi,40.4806,22.2083
Schoinás,40.6489,22.4331
Sfikiá,40.3819,22.2019
Stavrós,40.5889,22.3086
Stenímachos,40.6031,22.1269
Sykéa,40.4503,22.3739
Tripótamos,40.4892,22.1747
Tríkala,40.5981,22.5567
Trílofon,40.5733,22.1514
Vergina,40.4811,22.3136
Vrysákion,40.62,22.4039
Véroia,40.5233,22.2036
Xechasméni,40.5694,22.3389
Ágios Geórgios,40.6011,22.1942
Áno Zervochórion,40.6567,22.2142
Árachos,40.6614,22.5097
