<SIZE>93
<LANG>EN
<STATE>Ioánnina,IO
Agía Paraskeví,40.1425,20.8894
Amfithéa,39.6894,20.8711
Anatolí,39.6389,20.8653
Anílion,39.76,21.1878
Asfáka,39.7753,20.7536
Asvestochórion,39.6289,20.7764
Avgón,39.5286,20.9014
Aëtomilítsa,40.3069,20.8539
Báfra,39.6,20.8783
Charokópion,39.5875,20.9531
Chouliarádes,39.5494,21.0092
Chrysovítsa,39.7794,21.0731
Dafnoúla,39.6061,20.9892
Delvinákion,39.9325,20.4661
Dervíziana,39.3975,20.7822
Dolianá,39.9019,20.5794
Drosochórion,39.6267,20.9722
Drosopigí,40.2103,20.9133
Dístraton,40.0261,21.0161
Eleoúsa,39.7064,20.7925
Ellinikón,39.5492,20.9542
Exochí,40.0975,20.7403
Grevenítion,39.8072,21.0036
Ieromními,39.7725,20.5775
Iliókali,39.6183,20.9736
Ioannina,39.6675,20.8508
Kalpákion,39.8878,20.6239
Kaléntzion,39.4917,20.9833
Karítsa,39.7361,20.6636
Kastaní,39.835,20.4297
Kastrítsa,39.6314,20.9256
Katsikás,39.6225,20.8875
Kefalóvryson,40.0144,20.5625
Klimatiá,39.7047,20.6736
Kopáni,39.4747,20.8464
Kosmirá,39.5906,20.8039
Kouklioí,39.8153,20.5558
Koutsélion,39.5889,20.9142
Kranoúla,39.745,20.795
Krýa,39.7217,20.8392
Káto Lapsísta,39.7536,20.7494
Káto Mousiotítsa,39.3975,20.8172
Kónitsa,40.0486,20.7567
Kóntsika,39.6411,20.7583
Longádes,39.6603,20.9397
Mazarákion,39.8056,20.6083
Michalítsion,39.5567,21.0536
Miléa,39.8533,21.2303
Mouzakaíoi,39.575,20.9511
Myrodáfni,39.4658,20.8919
Mármara,39.6556,20.7969
Mázion,40.0386,20.6675
Méga Peristérion,39.7233,21.0619
Métsovon,39.7694,21.1822
Neochorópoulon,39.6286,20.8342
Neokaisáreia,39.5867,20.8778
Néa Mousiotítsa,39.4144,20.8389
Nísos Ioannínon,39.6789,20.875
Parakálamos,39.8603,20.5694
Pediní,39.5997,20.8433
Perívleptos,39.7644,20.7792
Petsálion,39.7864,20.7183
Plataniá,39.6125,20.965
Platanoússa,39.4175,21.0106
Plaísia,39.4914,20.9711
Pogonianí,40.0028,20.4244
Polýdoron,39.6367,20.5661
Protópappas,39.7797,20.6875
Prámanta,39.5231,21.1014
Pyrsógianni,40.2117,20.8094
Pérama,39.6953,20.8486
Pétra,39.7719,21.0264
Rodotópion,39.7083,20.7258
Romanós,39.3839,20.7008
Servianá,39.5592,20.9033
Sistroúnion,39.4111,20.6981
Sitariá,39.8692,20.5253
Stavrákion,39.6558,20.8175
Theriakísion,39.5067,20.8647
Tsepélovon,39.9061,20.8203
Térovon,39.4111,20.8742
Vaptistís,39.5522,21.0372
Vargiádes,39.4656,20.8139
Vasilikí,39.6433,20.9517
Vasilikón,40.0081,20.6
Votonósion,39.7681,21.1183
Vounoplagiá,39.6917,20.7858
Víssani,39.9436,20.5333
Zoödóchos,39.6936,20.7647
Zítsa,39.7531,20.6486
Ágia Marína,39.7294,20.8175
Ágios Ioánnis,39.7014,20.8072
Áno Lapsísta,39.7397,20.7633
