<SIZE>31
<LANG>EN
<STATE>Chíos,KH
Armólia,38.2531,26.0322
Chalkeión,38.3339,26.0975
Chíos,38.3678,26.1358
Dafnón,38.3472,26.0797
Eláta,38.2825,25.9892
Kalamotí,38.2322,26.0458
Kallimasiá,38.2942,26.1011
Kardámyla,38.5289,26.0914
Karyaí,38.3906,26.0967
Koiní,38.2514,26.0686
Lagkáda,38.4758,26.1208
Líthion,38.3369,25.9992
Mestá,38.2606,25.9203
Mármaron,38.5408,26.1131
Mésa Didýma,38.2761,26.0756
Neochórion,38.3075,26.1131
Nénita,38.2389,26.0931
Oinoússai,38.5142,26.2203
Olýmpoi,38.2467,25.9428
Pityoús,38.4844,26.0492
Pyrgíon,38.2258,25.9953
Sykiáda,38.4633,26.1236
Tholopotámion,38.2958,26.0708
Thymianá,38.315,26.1336
Vasileónoikon,38.3289,26.1108
Ververáton,38.3358,26.0797
Volissós,38.4825,25.9264
Vounós,38.2461,26.0783
Vrontádos,38.4089,26.1328
Véssa,38.2978,26.0083
Ágios Geórgios Sykoúsis,38.3189,26.0553
