<SIZE>75
<LANG>EN
<STATE>Kilkís,KK
Agía Paraskeví,41.2661,22.8489
Akrítas,41.1469,22.7444
Amáranta,41.1861,22.8094
Anthófyton,40.8519,22.7031
Argyroúpolis,40.9914,22.9269
Axiochórion,40.8711,22.6344
Axioúpolis,40.9836,22.535
Chorýgion,40.9942,22.7206
Chérson,41.0914,22.7833
Drosáton,41.1628,22.7989
Efkarpía,41.0717,22.9033
Eidoméni,41.1194,22.5061
Evropós,40.8944,22.5447
Filyriá,40.8964,22.4719
Fýska,41.1103,22.9914
Gallikós,40.8592,22.8756
Gerakón,40.8969,22.4506
Gorgópi,40.9589,22.5131
Gouménissa,40.9439,22.4442
Gríva,40.9525,22.4031
Iliólouston,41.0642,22.7339
Kampánis,40.8881,22.9103
Kastanerí,40.9756,22.3822
Kastanéai,41.0272,22.7669
Kentrikón,41.1625,22.8903
Kilkis,40.9919,22.8708
Koromiléa,41.0742,22.8481
Koronoúda,40.9869,22.9942
Kristóni,40.9556,22.8553
Kárpi,40.9831,22.4133
Káto Apóstoloi,40.9056,22.7525
Káto Soúrmena,41.2592,22.8328
Káto Theodorákion,41.1411,23.0042
Leventochórion,40.9497,22.8178
Livádia,41.0017,22.2861
Mavronérion,40.8856,22.8067
Megáli Stérna,41.0925,22.7269
Megáli Vrýsi,41.0086,22.7967
Mesiá,40.8814,22.5683
Metallikón,41.0153,22.8122
Metamórfosis,41.1206,22.6614
Mikrókampos,40.8386,22.7697
Mikrón Dásos,41.0678,22.5656
Mouriaí,41.2494,22.7906
Myriófyton,41.2208,22.8239
Mándrai,40.8681,22.9047
Néa Sánta,40.8417,22.9144
Néon Agionérion,40.8086,22.7003
Néon Gynaikókastron,40.9194,22.7408
Palaión Agionérion,40.8133,22.7217
Palaión Gynaikókastron,40.9439,22.7344
Panteleímon,40.83,22.8886
Pedinón,40.9089,22.8667
Pefkodásos,41.0383,22.5728
Plagiá,41.1022,22.8417
Plataniá,41.0681,22.5958
Plágia,41.0764,22.4892
Polýkastron,40.9936,22.5658
Polýpetron,40.8744,22.5069
Pontoirákleia,41.1022,22.6167
Rýzia,40.9261,22.5642
Stavrochórion,41.0333,22.7925
Státhis,40.9486,22.4939
Toúmpa,40.9322,22.5375
Térpyllos,41.0394,22.9497
Vafiochórion,41.0108,22.6642
Valtotópion,40.9378,22.5653
Vaptistís,40.9894,22.7664
Váthi,41.1439,22.9678
Xylokeratéa,40.8556,22.8347
Ágios Pétros,40.8647,22.5764
Áno Apóstoloi,40.9019,22.7997
Áno Soúrmena,41.2625,22.8389
Áspros,40.8992,22.6222
Évzonoi,41.1047,22.5553
