<SIZE>32
<LANG>EN
<STATE>Lárisa,LR
Agiá,39.7178,22.7636
Aigáni,39.9533,22.6108
Ampelákia,39.8539,22.5561
Dolíchi,40.0614,22.1642
Elassón,39.8947,22.1886
Eláteia,39.8114,22.5375
Farsala,39.2947,22.3847
Geránia,40.0075,22.1303
Itéa,39.8642,22.5197
Kalývia,40.0153,22.2317
Kokkinógeion,40.0314,22.1592
Kranéa,39.9275,22.5642
Kranéa Elassónos,39.9483,21.9658
Kypselochórion,39.7672,22.5331
Livádion,40.125,22.1517
Loutrón,39.9664,21.9314
Lárisa,39.6372,22.4203
Miléa,40.0253,22.0686
Omólion,39.8956,22.6417
Palaiópyrgos,39.9178,22.6819
Pournárion,39.7767,22.5739
Pyrgetós,39.9186,22.5928
Pýthion,40.0619,22.2253
Rapsáni,39.9022,22.5489
Sarantáporon,40.0656,22.0494
Spiliá,39.7972,22.6467
Stómion,39.8689,22.7275
Sykoúrion,39.7583,22.5786
Týrnavos,39.7378,22.2892
Verdikoússa,39.7803,21.9722
Ázoros,39.9994,22.0719
Óssa,39.7506,22.5786
