<SIZE>58
<LANG>EN
<STATE>Piería,PI
Aigínion,40.5014,22.54
Alónia,40.3944,22.5417
Andromáchi,40.27,22.4783
Aronás,40.2869,22.4256
Díon,40.1733,22.4867
Elatochórion,40.3078,22.2506
Foteiná,40.2206,22.3139
Ganóchora,40.3064,22.4933
Kallithéa,40.2764,22.5783
Karítsa,40.1875,22.4819
Kastanéa,40.4561,22.4514
Katachás,40.4678,22.5417
Katalónia,40.3486,22.3608
Katerini,40.2719,22.5025
Kolindrós,40.4758,22.4808
Kontariótissa,40.2289,22.4622
Korinós,40.315,22.5853
Koúkkos,40.3842,22.515
Káto Miléa,40.2483,22.3378
Káto Ágios Ioánnis,40.3264,22.5258
Kítros,40.3756,22.5783
Leptokaryá,40.0583,22.5614
Litochoro,40.1006,22.4978
Lófos,40.2447,22.3797
Makrýgialos,40.4164,22.6028
Megáli Géfyra,40.5317,22.5242
Methóni,40.4483,22.5869
Miléa,40.2503,22.2958
Moschochórion,40.2628,22.3886
Moschopótamos,40.3236,22.3056
Neokaisáreia,40.2617,22.4236
Néa Agathoúpolis,40.4606,22.5828
Néa Trapezoús,40.3347,22.5256
Néa Éfesos,40.23,22.4964
Néoi Póroi,39.9764,22.6514
Néon Keramídion,40.28,22.4594
Palaiostáni,40.415,22.4597
Palaión Eleftherochórion,40.4378,22.5769
Palaión Keramídion,40.3111,22.4617
Paliámpela,40.51,22.5017
Paralía,40.2681,22.5953
Perístasis,40.2742,22.5411
Ritíni,40.2869,22.2808
Ryákia,40.3969,22.3886
Ráchi,40.2436,22.3594
Sanatórion Ierás Monís Pétras Olýmpou,40.1981,22.3192
Sevastí,40.3586,22.5439
Sfendámion,40.4139,22.5461
Skotína,40.0117,22.5472
Svorónos,40.2644,22.46
Trílofos,40.3689,22.4561
Tóxon,40.34,22.3922
Vrontoú,40.1922,22.4328
Vría,40.2733,22.3217
Ágios Dimítrios,40.1528,22.2267
Ágios Spyrídon,40.2067,22.4403
Áno Ágios Ioánnis,40.3175,22.4947
Élafos,40.3714,22.3931
