<SIZE>87
<LANG>EN
<STATE>Pélla,PL
Achladochórion,40.8353,22.3358
Agrosykéa,40.8414,22.4975
Agía Foteiní,40.7133,22.0008
Akrolímni,40.6792,22.2639
Ampeleíai,40.8336,22.3786
Aravissós,40.84,22.2956
Archángelos,41.0803,22.2744
Aridaía,40.9731,22.0564
Arsénion,40.7142,22.1622
Axós,40.7989,22.3558
Chrysí,40.9447,22.1106
Chrýsa,40.9533,22.0417
Damianón,40.8267,22.4436
Dorothéa,40.9944,22.0567
Droserón,40.8222,22.2383
Dytikón,40.8569,22.5247
Ekklisiochórion,40.815,22.0653
Esóvalta,40.7072,22.2631
Exaplátanos,40.9772,22.125
Filóteia,41.035,22.1483
Flamouriá,40.7525,22.0128
Foústani,41.0572,22.175
Galatádes,40.7544,22.2717
Giannitsá,40.7919,22.4075
Gypsochórion,40.8058,22.2522
Kallípolis,40.7897,22.2242
Kalí,40.82,22.1753
Kalývia,40.7561,22.2136
Karyótissa,40.7683,22.3053
Konstantía,40.9983,22.1706
Káto Garéfeion,41.0253,22.0425
Liparón,40.7436,22.2389
Lipochórion,40.7589,22.1758
Loutrochórion,40.7231,22.1092
Lákka,40.8558,22.2372
Mavrovoúnion,40.7822,22.1531
Melíssion,40.7742,22.3442
Mesianón,40.7769,22.4708
Mesimérion,40.7906,22.0222
Miléa,40.9925,22.1414
Mándalon,40.8583,22.2097
Neochórion,41.0281,22.0942
Néa Pélla,40.7661,22.4856
Néos Mylótopos,40.8164,22.3464
Nótia,41.1042,22.2025
Palaiós Mylótopos,40.8022,22.3189
Palaífyton,40.7817,22.2661
Paralímni,40.7486,22.4533
Pefkotón,41.075,22.0847
Pentaplátanon,40.8167,22.4086
Períkleia,41.0989,22.2606
Petraía,40.7208,22.1444
Piperiaí,40.9703,22.0125
Plagiárion,40.8483,22.2711
Platáni,40.7608,22.0464
Plévroma,40.7156,22.1308
Polykárpion,40.9272,22.0136
Profítis Ilías,40.8128,22.1569
Prómachoi,41.0253,22
Pella,40.76,22.5192
Rachóna,40.8103,22.5308
Rizochórion,41.0094,22.1303
Rizárion,40.7872,22.0839
Rizón,40.7339,22.1358
Sevastianá,40.7681,22.1203
Skýdra,40.7672,22.1519
Sosándra,40.9983,22.0294
Sotíra,40.8583,22.0431
Stavrodrómion,40.7111,22.2175
Theodorákeion,40.9497,22.1886
Thiriópetra,41.0589,22.1567
Trifýllion,40.7897,22.2564
Tsákoi,40.9586,22.0364
Voreinón,41.03,22.0778
Xifianí,40.9306,22.0775
Ydraía,40.9594,22.0814
Ágios Geórgios,40.7622,22.2464
Ágios Loukás,40.7194,22.295
Ágras,40.805,22.0006
Áloros,40.9267,22.0853
Áno Garéfeion,41.0336,22.045
Ánydron,40.8353,22.2028
Ápsalos,40.8928,22.0544
Áspron,40.7367,22.2147
Áthyra,40.8253,22.5833
Edessa,40.8006,22.0472
Ída,41.0103,22.1725
