<SIZE>49
<LANG>EN
<STATE>Préveza,PV
Agiá,39.3131,20.3553
Ammoudiá,39.2389,20.4828
Anthoúsa,39.2967,20.3714
Archángelos,39.0919,20.7008
Cheimadión,39.1667,20.5969
Dryófyton,39.2689,20.8836
Filippiás,39.2047,20.8822
Gymnótopos,39.2894,20.9033
Kamarína,39.1344,20.6706
Kanallákion,39.2336,20.6
Kanálion,39.0653,20.6986
Kastríon,39.2511,20.5708
Kerasóna,39.3064,20.8742
Kleisoúra,39.3611,20.8894
Koróni,39.2786,20.5528
Kranéa,39.2464,20.7469
Kryopigí,39.1511,20.6611
Loúros,39.1628,20.7519
Loútsa,39.1975,20.5319
Melianá,39.3614,20.7839
Mesopótamon,39.2375,20.5306
Michalítsion,39.0372,20.7456
Mýtikas,39,20.7067
Nikolítsion,39.31,20.7669
Nikópolis,39.0269,20.7331
Nárkissos,39.255,20.6072
Néa Kerasoús,39.1556,20.8583
Néa Sampsoús,39.0889,20.7433
Néa Sinópi,39.0819,20.7231
Néos Gorgómilos,39.3344,20.9225
Néos Oropós,39.1514,20.7367
Oropós,39.1636,20.7183
Panagía,39.3464,20.88
Pappadátai,39.3133,20.7925
Preveza,38.95,20.75
Parga,39.2831,20.3964
Pétra,39.1569,20.8158
Rizovoúnion,39.2614,20.8078
Stavrochórion,39.2614,20.5667
Stefáni,39.1797,20.7897
Thesprotikón,39.25,20.7847
Thémelon,39.2614,20.5331
Týrgia,39.2089,20.7839
Valanidórrachi,39.2214,20.5197
Vouvopótamos,39.3083,20.6078
Vrysoúla,39.2642,20.6967
Ágios Geórgios,39.2669,20.8533
Áno Kotsanópoulon,39.2269,20.7139
Ássos,39.3456,20.7647
