<SIZE>27
<LANG>EN
<STATE>Sámos,SM
Chóra,37.7036,26.9056
Kallithéa,37.7333,26.5833
Kastanéa,37.7544,26.6772
Kokkárion,37.7764,26.8939
Kontakaíïka,37.8014,26.7456
Kontaíïka,37.7553,26.7383
Koumaíïka,37.7097,26.7497
Léka,37.7733,26.6858
Marathókampos,37.7264,26.69
Mavratzaíoi,37.7181,26.8619
Mytilinioí,37.7286,26.9083
Mýloi,37.6797,26.8611
Néon Karlovásion,37.7903,26.7044
Pagóndas,37.6728,26.8319
Palaiókastron,37.7381,27.0006
Plátanos,37.7383,26.7453
Pythagóreion,37.6919,26.9483
Pándroson,37.7308,26.8294
Pýrgos,37.7117,26.8042
Spatharaíoi,37.6786,26.8014
Sámos,37.7572,26.9769
Vathý,37.75,26.9833
Vourliótai,37.7833,26.85
Ydroússa,37.7794,26.7517
Ágios Konstantínos,37.8058,26.8153
Ágios Kírykos,37.6147,26.2944
Ámpelos,37.8011,26.8033
