<SIZE>56
<LANG>EN
<STATE>Thessaloníki,TN
Agía Triás,40.4994,22.8761
Akropótamos,40.8389,22.6461
Anatolikón,40.6631,22.7114
Anchíalos,40.7144,22.7794
Angelochórion,40.4972,22.8344
Chalkidón,40.7331,22.5992
Drymós,40.7814,22.9547
Efkarpía,40.6878,22.9536
Eleoúsa,40.7475,22.6261
Epanomí,40.4272,22.9283
Géfyra,40.7333,22.6922
Kalamaria,40.5825,22.9503
Kalochórion,40.6414,22.8567
Kardiá,40.4678,22.9947
Kastanás,40.8167,22.6528
Koufália,40.7778,22.5719
Krithiá,40.8411,22.9778
Kýmina,40.6147,22.6911
Lagkadás,40.63,23.2436
Lagyná,40.7231,23
Lití,40.7453,22.9786
Loudías,40.6772,22.5414
Melissochórion,40.7667,22.925
Mesaíon,40.7944,22.8606
Mikrón Monastírion,40.7058,22.5414
Monólofon,40.8033,22.9072
Neochoroúda,40.7367,22.8761
Néa Filadélfeia,40.7964,22.8339
Néa Ioniá,40.6889,22.8569
Néa Kerasiá,40.4753,22.8692
Néa Magnisía,40.6875,22.8469
Néa Mesimvría,40.7514,22.7625
Néa Michanióna,40.4644,22.8608
Néa Málgara,40.6094,22.6817
Néoi Epivátai,40.5003,22.9111
Néon Rýsion,40.4967,22.9886
Oraiókastron,40.7308,22.9172
Parthénion,40.7008,22.6061
Pentálofos,40.7417,22.8519
Peraía,40.5003,22.925
Plagiárion,40.4742,22.9572
Políchni,40.6617,22.9464
Próchoma,40.7969,22.6583
Péfka,40.6572,22.9903
Pýrgos,40.6286,22.7328
Síndos,40.6697,22.8047
Thessaloniki,40.6403,22.9439
Triandría,40.6228,22.9711
Trílofon,40.4672,22.9694
Valtochórion,40.7189,22.6372
Vathýlakkos,40.7694,22.7017
Vrachiá,40.6622,22.6397
Xirochórion,40.8011,22.7722
Ádendron,40.6717,22.6044
Ágios Athanásios,40.7172,22.7281
Ágios Pávlos,40.6406,22.9594
