<SIZE>98
<LANG>EN
<STATE>Tríkala,TR
Agiófyllon,39.8614,21.5536
Agnantiá,39.8675,21.4656
Agreliá,39.7192,21.9317
Agía Kyriakí,39.5161,21.8025
Amáranton,39.7006,21.3881
Apóstoloi,39.5783,21.7303
Ardánion,39.6311,21.7875
Armatolikón,39.4875,21.3083
Asprokklisiá,39.8483,21.6567
Chrysavgí,39.5858,21.8544
Chrysomiléa,39.6083,21.5
Dendrochórion,39.5522,21.6364
Dialektón,39.5953,21.6511
Dipótamos,39.5683,21.6983
Diáva,39.6919,21.5806
Droserón,39.5111,21.7414
Drosopigí,39.5206,21.67
Eleftherochórion,39.5286,21.6342
Ellinókastron,39.6897,21.7969
Eláfion,39.7136,21.4689
Eláti,39.5039,21.5347
Faneroméni,39.5472,21.8936
Filýra,39.4919,21.6106
Flamoúlion,39.5261,21.765
Foteinón,39.8386,21.7842
Fotáda,39.5539,21.6853
Fíki,39.5169,21.6556
Genésion,39.5786,21.5853
Georganádes,39.5683,21.9931
Gerakárion,39.8044,21.845
Glínos,39.5119,21.8653
Gorgogýrion,39.5483,21.5844
Gávros,39.7956,21.5881
Gómfoi,39.4636,21.6925
Kakoplévrion,39.8292,21.4319
Kalampáka,39.7044,21.6269
Kalogrianí,39.6481,21.4869
Kalomoíra,39.7511,21.41
Kalonérion,39.6356,21.5858
Karyaí,39.5297,21.7783
Kastanéa,39.7103,21.3786
Kastrákion,39.7156,21.6181
Kefalóvryson,39.5806,21.6931
Kleinón,39.6686,21.4539
Kotrónion,39.4636,21.5614
Krinítsa,39.5886,21.795
Krýa Vrýsi,39.6892,21.5525
Longákion,39.5775,21.7786
Lygariá,39.4939,21.6839
Lóngos,39.5294,21.8367
Malakásion,39.7811,21.285
Mavrélion,39.8344,21.8625
Megalochórion,39.5594,21.8408
Megála Kalývia,39.5,21.7875
Megáli Keraséa,39.7536,21.4969
Megárchi,39.6097,21.6428
Mesochóra,39.4739,21.3242
Mouriá,39.4886,21.7169
Méga Kefalóvryson,39.5892,21.7289
Neraïdochóri,39.5289,21.4361
Nomí,39.5303,21.9344
Oichalía,39.6067,21.9808
Oxýneia,39.8281,21.49
Palaiomonástiron,39.4625,21.6586
Palaiópyrgos,39.6072,21.8172
Panagía,39.7958,21.3289
Patouliá,39.5353,21.8653
Petrotón,39.5861,21.9631
Petróporos,39.5617,21.9286
Pigí,39.5119,21.7011
Piáleia,39.5053,21.5942
Plátanos,39.6608,21.7703
Prínos,39.5697,21.6108
Pródromos,39.5644,21.5892
Pyrgetós,39.5519,21.7481
Péfki,39.7964,21.3803
Pýli,39.4581,21.6189
Rizareión,39.5383,21.7997
Ropotón,39.4197,21.5414
Rízoma,39.665,21.735
Rógkia,39.5606,21.7117
Sarakína,39.6622,21.6369
Servotá,39.5044,21.9064
Skepárion,39.7894,21.6267
Spathádes,39.6975,21.7156
Stournaraíïka,39.4517,21.4906
Taxiárchai,39.575,21.8925
Theotókos,39.8467,21.5964
Theópetra,39.6736,21.6836
Trygón,39.7883,21.4122
Trikala,39.5553,21.7675
Valtinón,39.5481,21.6603
Vasilikí,39.6389,21.7047
Vlacháva,39.7725,21.6511
Xylopároikon,39.5344,21.5803
Zileftí,39.5861,21.8186
Ágios Vissaríon,39.4703,21.6181
Ávra,39.7111,21.6897
