<SIZE>1233
<LANG>EN
Achaea,AK
Aetolia-Acarnania,AA
Arcadia,AD
Argolis,AG
Attica,AT
Chalkidiki,KO
Chania,KN
Chios,KH
Dodecanese,DO
Drama,DR
Evrytania,ET
Florina,FL
Grevena,GR
Ilia,IL
Imathía,IM
Ioannina,IO
Heraklion,IR
Kardítsa,KT
Kastoria,KS
Kavala,KV
Kefalonia,KF
Kilkis,KK
Corinthía,CN
Kozani,KZ
Cyclades,CY
Corfu,CF
Laconia,LC
Lasithi,LT
Lefkada,LV
Larissa,LR
Lesbos,LS
Magnesia,MG
Messinia,MS
Phocis,FK
Phthiotis,FT
Pieria,PI
Preveza,PV
Pella,PL
Rethymno,RT
Rhodope,RD
Samos,SM
Serres,SR
Thesprotia,TP
Thessaloniki,TN
Trikala,TR
Boeotia,BT
Xanthi,XN
Zakynthos,ZK
Arta,AR
Evros,ES
Euboea,EU
