<SIZE>22
<LANG>EN
<STATE>Baranya,BA
Beremend,45.7853,18.4347
Bóly,45.9672,18.5183
Dunaszekcső,46.0833,18.7667
Harkány,45.8478,18.2375
Hidas,46.2667,18.5
Hosszúhetény,46.15,18.35
Komló,46.2,18.2667
Kozármisleny,46.0333,18.3
Lánycsók,46,18.6333
Mohács,45.9931,18.6831
Mágocs,46.35,18.2333
Pellérd,46.0333,18.15
Pécs,46.0833,18.2333
Pécsvárad,46.15,18.4167
Sellye,45.8747,17.8439
Siklós,45.8553,18.2986
Szentlőrinc,46.05,17.9833
Szigetvár,46.05,17.8
Szászvár,46.2667,18.3667
Sásd,46.25,18.1167
Vajszló,45.8633,17.9761
Villány,45.8689,18.4539
