<SIZE>41
<LANG>EN
<STATE>Békés,BE
Battonya,46.2833,21.0167
Bucsa,47.2,21
Békés,46.7667,21.1333
Békéscsaba,46.6833,21.1
Békésszentandrás,46.8667,20.4833
Békéssámson,46.4167,20.6333
Csanádapáca,46.55,20.8833
Csorvás,46.6333,20.8333
Doboz,46.7333,21.25
Dombegyház,46.3333,21.1333
Dévaványa,47.0333,20.9667
Elek,46.5333,21.25
Füzesgyarmat,47.1,21.2167
Gyomaendrőd,46.9333,20.8333
Gyula,46.65,21.2833
Gádoros,46.6667,20.6
Kaszaper,46.4667,20.8333
Kevermes,46.4167,21.1833
Kondoros,46.7667,20.8
Kunágota,46.4333,21.05
Kétegyháza,46.5333,21.1833
Körösladány,46.9667,21.0833
Köröstarcsa,46.8833,21.0333
Lőkösháza,46.4333,21.2333
Magyarbánhegyes,46.45,20.9667
Medgyesegyháza,46.5,21.0333
Mezőberény,46.8167,21.0333
Mezőhegyes,46.3167,20.8167
Mezőkovácsháza,46.4,20.9167
Méhkerék,46.7833,21.45
Nagyszénás,46.6833,20.6667
Okány,46.9,21.35
Orosháza,46.5667,20.6667
Pusztaföldvár,46.5333,20.8
Sarkad,46.75,21.3833
Szabadkígyós,46.6167,21.1
Szarvas,46.8667,20.55
Szeghalom,47.0333,21.1667
Tótkomlós,46.4167,20.7333
Vésztő,46.9167,21.2667
Újkígyós,46.5833,21.0333
