<SIZE>63
<LANG>EN
<STATE>Bács-Kiskun,BK
Akasztó,46.6917,19.2081
Apostag,46.8833,18.95
Baja,46.1833,18.9667
Ballószög,46.8667,19.5833
Bugac,46.6889,19.6794
Bácsalmás,46.1253,19.3361
Bácsbokod,46.1219,19.1589
Bátya,46.4833,18.95
Csengőd,46.7167,19.2667
Császártöltés,46.4219,19.1836
Csávoly,46.1892,19.1467
Dunapataj,46.64,19.0022
Dunavecse,46.9167,18.9833
Dusnok,46.3833,18.9667
Dávod,45.995,18.9172
Felsőszentiván,46.195,19.1903
Fülöpszállás,46.8178,19.2386
Gara,46.0319,19.0428
Hajós,46.3986,19.1206
Harta,46.6936,19.0314
Helvécia,46.8333,19.6167
Hercegszántó,45.95,18.9392
Izsák,46.8014,19.3547
Jakabszállás,46.7333,19.7333
Jánoshalma,46.2986,19.3258
Jászszentlászló,46.5681,19.7611
Kalocsa,46.5264,18.9858
Katymár,46.0322,19.2108
Kecel,46.5253,19.2519
Kecskemét,46.9062,19.6913
Kelebia,46.1939,19.6119
Kerekegyháza,46.9372,19.4781
Kiskunfélegyháza,46.7136,19.8522
Kiskunhalas,46.4314,19.4875
Kiskunmajsa,46.4903,19.74
Kiskőrös,46.6206,19.2886
Kisszállás,46.2783,19.4961
Kunfehértó,46.35,19.4167
Kunszentmiklós,47.0333,19.1333
Lajosmizse,47.0167,19.55
Lakitelek,46.8761,19.9889
Madaras,46.055,19.2667
Mélykút,46.2111,19.3869
Nagybaracska,46.05,18.9
Nemesnádudvar,46.3356,19.0531
Nyárlőrinc,46.8622,19.8733
Orgovány,46.7486,19.4736
Pálmonostora,46.6278,19.9422
Solt,46.7997,19.0161
Soltvadkert,46.5781,19.3958
Szabadszállás,46.8728,19.2242
Szalkszentmárton,46.9742,19.02
Szank,46.5544,19.6722
Szentkirály,46.9167,19.9333
Sükösd,46.2833,19
Tass,47.0167,19.0333
Tiszaalpár,46.8217,19.9842
Tiszakécske,46.9333,20.1
Tompa,46.2178,19.5422
Tázlár,46.5486,19.5203
Vaskút,46.1167,18.9833
Ágasegyháza,46.8333,19.45
Érsekcsanád,46.25,18.9833
