<SIZE>68
<LANG>EN
<STATE>Borsod-Abaúj-Zemplén,BZ
Abaújszántó,48.2833,21.2
Arló,48.1833,20.2667
Aszaló,48.2167,20.9667
Bekecs,48.15,21.1833
Bogács,47.9,20.5333
Boldva,48.2167,20.8
Borsodnádasd,48.1167,20.25
Bőcs,48.05,20.9667
Cigánd,48.25,21.9
Edelény,48.3,20.7333
Emőd,47.9333,20.8167
Encs,48.3333,21.1333
Farkaslyuk,48.1833,20.3167
Felsőzsolca,48.1,20.8667
Gesztely,48.1,20.9667
Gönc,48.4667,21.2833
Halmaj,48.25,21
Harsány,47.9667,20.75
Hejőbába,47.9,20.95
Hernádnémeti,48.0667,20.9833
Izsófalva,48.3,20.6667
Járdánháza,48.15,20.25
Karcsa,48.3167,21.8
Kazincbarcika,48.25,20.6333
Megyaszó,48.1833,21.05
Mezőcsát,47.8167,20.9167
Mezőkeresztes,47.8333,20.7
Mezőkövesd,47.8167,20.5833
Mezőzombor,48.15,21.2667
Miskolc,48.1,20.7833
Monok,48.2167,21.15
Mád,48.2,21.2833
Mályi,48.0167,20.8333
Múcsony,48.2667,20.6833
Nyékládháza,47.9833,20.8333
Olaszliszka,48.25,21.4333
Onga,48.1167,20.9167
Prügy,48.0833,21.25
Putnok,48.3,20.4333
Ricse,48.3333,21.9667
Rudabánya,48.3833,20.6333
Sajóbábony,48.1667,20.7333
Sajókaza,48.2833,20.5833
Sajólád,48.05,20.9
Sajószentpéter,48.2167,20.7167
Sajószöged,47.95,21
Sajóvámos,48.1833,20.85
Sajóörös,47.95,21.0333
Szendrő,48.4,20.7333
Szentistván,47.7667,20.6667
Szerencs,48.1667,21.2
Szikszó,48.2,20.9333
Szirmabesenyő,48.15,20.8
Sály,47.95,20.6667
Sárospatak,48.3167,21.5833
Sátoraljaújhely,48.4,21.6667
Taktaharkány,48.0833,21.1333
Taktaszada,48.1167,21.1833
Tarcal,48.1333,21.35
Tiszakarád,48.2,21.7167
Tiszakeszi,47.7833,21
Tiszalúc,48.0333,21.0833
Tiszaújváros,47.9333,21.0833
Tokaj,48.1167,21.4167
Tolcsva,48.2833,21.45
Tállya,48.2333,21.2333
Ónod,48,20.9167
Ózd,48.2167,20.3
