<SIZE>50
<LANG>EN
<STATE>Fejér,FE
Aba,47.0333,18.5167
Adony,47.1167,18.8667
Alap,46.8,18.7
Bakonycsernye,47.3167,18.0833
Baracs,46.8833,18.8833
Baracska,47.2833,18.7667
Bicske,47.4833,18.6333
Bodajk,47.3167,18.2333
Cece,46.7706,18.6283
Csákvár,47.3918,18.465
Dunaújváros,46.9833,18.9333
Dég,46.8667,18.45
Előszállás,46.8333,18.8167
Enying,46.9333,18.25
Ercsi,47.25,18.9
Etyek,47.45,18.75
Fehérvárcsurgó,47.2935,18.2646
Gárdony,47.2094,18.6361
Iváncsa,47.15,18.8167
Kisláng,46.9667,18.3833
Káloz,46.95,18.4833
Kápolnásnyék,47.2333,18.6833
Lajoskomárom,46.85,18.35
Lepsény,47,18.25
Lovasberény,47.3,18.55
Martonvásár,47.3167,18.7833
Mezőfalva,46.9333,18.7667
Mezőszilas,46.8167,18.4833
Mány,47.5333,18.6667
Mór,47.3833,18.2
Perkáta,47.05,18.8
Polgárdi,47.05,18.3
Pusztaszabolcs,47.1333,18.7667
Pusztavám,47.4333,18.2333
Pákozd,47.2167,18.55
Pázmánd,47.2833,18.6667
Rácalmás,47.0167,18.95
Ráckeresztúr,47.2667,18.8333
Seregélyes,47.1,18.5833
Soponya,47.0167,18.45
Szabadbattyán,47.1167,18.3833
Székesfehérvár,47.1899,18.4103
Sárbogárd,46.8869,18.6204
Sárkeresztúr,47,18.55
Sárosd,47.05,18.65
Sárszentmihály,47.15,18.3333
Velence,47.2333,18.65
Vál,47.3667,18.6833
Zámoly,47.3167,18.4167

