<SIZE>32
<LANG>EN
<STATE>Győr-Moson-Sopron,GS
Abda,47.7,17.55
Bakonyszentlászló,47.3833,17.8
Beled,47.4667,17.1
Bőny,47.65,17.8667
Bősárkány,47.6833,17.25
Csorna,47.6167,17.25
Farád,47.6,17.2
Fertőd,47.6167,16.8667
Fertőrákos,47.7167,16.65
Fertőszentmiklós,47.5833,16.8833
Győr,47.6833,17.6351
Győrszemere,47.55,17.5667
Győrújbarát,47.6,17.65
Halászi,47.8833,17.3333
Jánossomorja,47.8,17.1167
Kapuvár,47.6,17.0333
Kimle,47.8333,17.3667
Kóny,47.6333,17.3667
Lébénymiklós,47.7333,17.3833
Mihályi,47.5167,17.1
Mosonmagyaróvár,47.8667,17.2833
Nyúl,47.5833,17.6833
Pannonhalma,47.55,17.75
Pér,47.6167,17.8
Rajka,48,17.2
Rábapatona,47.6333,17.4833
Sopron,47.6833,16.6
Szany,47.4667,17.3
Tét,47.5167,17.5167
Töltéstava,47.6167,17.7333
Ágfalva,47.6833,16.5167
Öttevény,47.7333,17.4833
