<SIZE>43
<LANG>EN
<STATE>Hajdú-Bihar,HB
Bagamér,47.45,22
Balmazújváros,47.6167,21.35
Berettyóújfalu,47.2167,21.55
Biharkeresztes,47.1333,21.7167
Biharnagybajom,47.2167,21.2333
Báránd,47.3,21.2333
Csökmő,47.0333,21.3
Debrecen,47.5333,21.6333
Derecske,47.35,21.5667
Ebes,47.4667,21.5
Egyek,47.6333,20.9
Földes,47.3,21.3667
Görbeháza,47.8333,21.2333
Hajdubagos,47.4,21.6667
Hajdúböszörmény,47.6667,21.5167
Hajdúdorog,47.8167,21.5
Hajdúhadház,47.6833,21.6667
Hajdúnánás,47.85,21.4333
Hajdúszoboszló,47.45,21.4
Hajdúszovát,47.3833,21.4833
Hajdúsámson,47.6,21.7667
Hortobágy,47.5833,21.1667
Hosszúpályi,47.4,21.75
Kaba,47.35,21.2833
Komádi,47,21.5
Konyár,47.3167,21.6667
Létavértes,47.3833,21.9
Mikepércs,47.45,21.6333
Monostorpályi,47.4,21.7833
Nagyrábé,47.2,21.3333
Nyíracsád,47.6,21.9833
Nyíradony,47.6833,21.9167
Nyírmártonfalva,47.5833,21.9
Nyírábrány,47.55,22.0333
Nádudvar,47.4167,21.1667
Pocsaj,47.2833,21.8167
Polgár,47.8667,21.1167
Püspökladány,47.3167,21.1167
Sárrétudvari,47.2333,21.2
Sáránd,47.4,21.6333
Tiszacsege,47.7,21
Téglás,47.7167,21.6833
Vámospércs,47.5333,21.9
