<SIZE>42
<LANG>EN
<STATE>Jász-Nagykun-Szolnok,JN
Abádszalók,47.4667,20.6
Alattyán,47.4333,20.05
Besenyszög,47.3,20.2667
Cibakháza,46.9667,20.2
Cserkeszőlő,46.8667,20.1833
Fegyvernek,47.2667,20.5333
Jánoshida,47.3833,20.0667
Jászalsószentgyörgy,47.3667,20.1
Jászapáti,47.5167,20.15
Jászberény,47.5,19.9167
Jászdózsa,47.5667,20.0167
Jászjákóhalma,47.5167,20
Jászkisér,47.45,20.2167
Jászladány,47.3667,20.1667
Jászszentandrás,47.5833,20.1833
Jászárokszállás,47.6333,19.9833
Karcag,47.3167,20.9333
Kenderes,47.25,20.6833
Kengyel,47.0833,20.3333
Kisújszállás,47.2167,20.7667
Kunhegyes,47.3667,20.6333
Kunmadaras,47.4333,20.8
Kunszentmárton,46.8333,20.2833
Mezőtúr,47,20.6333
Rákóczifalva,47.0833,20.2333
Rákócziújfalu,47.0667,20.2667
Szajol,47.1833,20.3
Szolnok,47.1833,20.2
Tiszabura,47.45,20.4667
Tiszabő,47.3,20.4833
Tiszaföldvár,46.9833,20.25
Tiszafüred,47.6167,20.7667
Tiszapüspöki,47.2167,20.3167
Tiszaroff,47.4,20.45
Tiszaszentimre,47.4833,20.7333
Tiszasüly,47.3833,20.4
Tószeg,47.1,20.15
Törökszentmiklós,47.1833,20.4167
Túrkeve,47.1,20.75
Zagyvarékas,47.2667,20.1333
Öcsöd,46.9,20.4
Újszász,47.3,20.0833
