<SIZE>35
<LANG>EN
<STATE>Komárom-Esztergom,KE
Almásfüzitő,47.7258,18.2667
Baj,47.65,18.3667
Bajna,47.65,18.6
Bokod,47.5,18.25
Bábolna,47.6333,17.9833
Csolnok,47.7,18.7167
Császár,47.5,18.15
Dorog,47.7167,18.7333
Dunaalmás,47.7289,18.3242
Esztergom,47.8,18.75
Kecskéd,47.5167,18.3167
Kesztölc,47.7167,18.8
Kisbér,47.5,18.0333
Kocs,47.6,18.2167
Komárom,47.7333,18.1167
Környe,47.55,18.3333
Lábatlan,47.75,18.5
Mocsa,47.6667,18.1833
Nagyigmánd,47.6333,18.0833
Naszály,47.7,18.2667
Neszmély,47.7342,18.3544
Nyergesújfalu,47.7667,18.55
Oroszlány,47.4833,18.3167
Piliscsév,47.6833,18.8167
Pilismarót,47.7833,18.8833
Szomód,47.6828,18.345
Sárisáp,47.6833,18.6833
Süttő,47.7575,18.4489
Tarján,47.6167,18.5167
Tata,47.65,18.3167
Tatabánya,47.5667,18.4167
Tokod,47.7167,18.6667
Tát,47.75,18.65
Vértesszőlős,47.6167,18.3833
Ács,47.7,18.0167
