<SIZE>23
<LANG>EN
<STATE>Nógrád,NO
Balassagyarmat,48.0833,19.3
Bercel,47.8667,19.4167
Buják,47.8833,19.55
Bátonyterenye,47.9667,19.8333
Diósjenő,47.95,19.05
Jobbágyi,47.8333,19.6833
Karancskeszi,48.1667,19.7
Karancslapujtő,48.15,19.7333
Kazár,48.05,19.8667
Mátranovák,48.0333,19.9833
Mátraterenye,48.0333,19.95
Mátraverebély,47.9833,19.7833
Nagyoroszi,48,19.1
Pásztó,47.9167,19.7
Rimóc,48.0333,19.5333
Romhány,47.9333,19.2667
Rétság,47.9333,19.1333
Salgótarján,48.0987,19.803
Somoskőújfalu,48.1637,19.823
Szurdokpüspöki,47.85,19.6833
Szécsény,48.0833,19.5167
Tar,47.95,19.75
Érsekvadkert,48,19.2
