<SIZE>123
<LANG>EN
<STATE>Érd megyei jogú város,PE
Abony,47.1833,20
Acsa,47.7942,19.388
Albertirsa,47.25,19.6167
Alsónémedi,47.3167,19.1667
Bag,47.6333,19.4833
Biatorbágy,47.4667,18.8167
Budakalász,47.6167,19.05
Budakeszi,47.5167,18.9333
Budaörs,47.4618,18.9585
Bugyi,47.2167,19.15
Cegléd,47.1667,19.8
Ceglédbercel,47.2167,19.6833
Csemő,47.1167,19.7
Csobánka,47.6464,18.9619
Csömör,47.55,19.2333
Dabas,47.1833,19.3167
Diósd,47.4,18.95
Domony,47.65,19.4333
Dunabogdány,47.7833,19.0333
Dunaharaszti,47.35,19.0833
Dunakeszi,47.6333,19.1333
Dunavarsány,47.2833,19.0667
Dánszentmiklós,47.2167,19.55
Dány,47.5167,19.55
Délegyháza,47.25,19.0667
Dömsöd,47.0833,19
Ecser,47.45,19.3333
Erdőkertes,47.6667,19.3167
Farmos,47.3667,19.85
Felsőpakony,47.35,19.25
Fót,47.6167,19.2
Galgahéviz,47.6167,19.5667
Galgamácsa,47.7,19.3833
Gomba,47.3667,19.5333
Gyál,47.3833,19.2333
Gyömrő,47.4167,19.4
Göd,47.7,19.1333
Gödöllő,47.6,19.3667
Halásztelek,47.3667,18.9833
Hernád,47.1667,19.4333
Hévizgyörk,47.6333,19.5167
Iklad,47.6667,19.45
Inárcs,47.2667,19.3333
Isaszeg,47.5333,19.4
Jászkarajenő,47.05,20.0667
Kakucs,47.25,19.3667
Kartal,47.6667,19.55
Kiskunlacháza,47.2,19.0167
Kocsér,47.0053,19.9114
Kosd,47.8,19.1833
Kóka,47.4833,19.5833
Leányfalu,47.7167,19.0833
Maglód,47.45,19.3667
Mende,47.4167,19.45
Mogyoród,47.6,19.25
Monor,47.35,19.45
Nagykáta,47.4167,19.75
Nagykőrös,47.0333,19.7833
Nagymaros,47.7833,18.9667
Nagytarcsa,47.5333,19.2833
Nyáregyháza,47.25,19.5
Perbál,47.6,18.7667
Pilis,47.2833,19.55
Pilisborosjenő,47.6074,18.9932
Piliscsaba,47.6167,18.8333
Pilisszentiván,47.6096,18.8994
Pilisszentkereszt,47.7,18.9
Pilisszántó,47.6667,18.9
Pilisvörösvár,47.6139,18.9089
Pomáz,47.65,19.0333
Pánd,47.35,19.6333
Páty,47.5167,18.8333
Pécel,47.4833,19.35
Péteri,47.3833,19.4167
Ráckeve,47.1667,18.95
Solymár,47.5833,18.9333
Szada,47.6333,19.3167
Szentendre,47.6694,19.0756
Szentlőrinckáta,47.5167,19.75
Szentmártonkáta,47.45,19.7
Szigetcsép,47.2667,18.9833
Szigethalom,47.3333,19
Szigetszentmiklós,47.35,19.05
Szigetújfalu,47.2333,18.9333
Szob,47.8167,18.8667
Százhalombatta,47.3333,18.9333
Sződ,47.7167,19.2
Sződliget,47.7333,19.15
Sóskút,47.4,18.8333
Tahitótfalu,47.75,19.1
Taksony,47.3333,19.0833
Telki,47.55,18.8333
Tura,47.6167,19.6
Táborfalva,47.0833,19.4667
Tápióbicske,47.3667,19.6833
Tápiógyörgye,47.3333,19.95
Tápiószecső,47.45,19.6
Tápiószele,47.3333,19.8833
Tápiószentmárton,47.3333,19.75
Tápiószőlős,47.3,19.85
Tápióság,47.4,19.6167
Tárnok,47.3667,18.85
Tóalmás,47.5167,19.6667
Törtel,47.1167,19.9333
Törökbálint,47.4333,18.9167
Valkó,47.5667,19.5167
Vecsés,47.4,19.2833
Veresegyház,47.65,19.2833
Verőcemaros,47.8333,19.0333
Visegrád,47.7833,18.9833
Vác,47.7833,19.1333
Vácszentlászló,47.5833,19.5333
Zsámbok,47.55,19.6167
Zsámbék,47.55,18.7167
Érd,47.3667,18.9333
Ócsa,47.3,19.2333
Örkény,47.1333,19.4333
Újhartyán,47.2167,19.3833
Újszilvás,47.2833,19.9333
Úri,47.4167,19.5333
Üllő,47.3833,19.35
Üröm,47.6,19.0167
Őrbottyán,47.6833,19.2667
