<SIZE>29
<LANG>EN
<STATE>Somogy,SO
Babócsa,46.0333,17.3667
Balatonboglár,46.7667,17.6667
Balatonfenyves,46.7167,17.5
Balatonföldvár,46.85,17.8833
Balatonlelle,46.7833,17.6833
Balatonszabadi,46.8833,18.1333
Balatonszárszó,46.8333,17.8333
Barcs,45.96,17.4586
Berzence,46.2,17.15
Böhönye,46.4,17.4
Csurgó,46.2667,17.1
Fonyód,46.7333,17.55
Kadarkút,46.2333,17.6333
Kaposmérő,46.3667,17.7167
Kaposvár,46.3667,17.8
Karád,46.6833,17.85
Kéthely,46.65,17.4
Lengyeltóti,46.6667,17.65
Lábod,46.2,17.45
Marcali,46.5833,17.4167
Nagyatád,46.2167,17.3667
Nagybajom,46.3833,17.5167
Segesd,46.35,17.35
Siófok,46.9,18.05
Somogyvár,46.5833,17.6667
Tab,46.7333,18.0333
Taszár,46.3667,17.9167
Zamárdi,46.8833,17.95
Ádánd,46.8667,18.1667
