<SIZE>81
<LANG>EN
<STATE>Szabolcs-Szatmár-Bereg,SZ
Ajak,48.1833,22.0667
Anarcs,48.1833,22.1167
Apagy,47.9667,21.9333
Aranyosapáti,48.2,22.2667
Baktalórántháza,48,22.0833
Balkány,47.7707,21.8631
Buj,48.1,21.65
Bököny,47.7333,21.75
Csenger,47.8333,22.6833
Demecser,48.1167,21.9167
Dombrád,48.2333,21.9333
Döge,48.2667,22.0833
Encsencs,47.7333,22.1167
Fehérgyarmat,47.9833,22.5167
Fényeslitke,48.2667,22.1
Gyulaháza,48.1333,22.1167
Gégény,48.15,21.95
Hodász,47.9167,22.2167
Ibrány,48.1333,21.7167
Kemecse,48.0667,21.8
Kisléta,47.8333,22.0167
Kisvárda,48.2167,22.0833
Kocsord,47.95,22.3833
Kállósemjén,47.8667,21.9333
Kálmánháza,47.8833,21.5833
Kántorjánosi,47.9333,22.15
Kék,48.1167,21.8833
Kótaj,48.05,21.7167
Levelek,47.9667,22
Mándok,48.3167,22.2
Máriapócs,47.8833,22.0333
Mátészalka,47.95,22.3333
Mérk,47.7833,22.3667
Nagycserkesz,47.9667,21.5333
Nagydobos,48.05,22.3167
Nagyecsed,47.8667,22.4
Nagyhalász,48.1333,21.7667
Nagykálló,47.8749,21.8408
Napkor,47.9333,21.8833
Nyírbogdány,48.05,21.8833
Nyírbogát,47.8,22.0667
Nyírbátor,47.8333,22.1333
Nyírbéltek,47.7,22.1333
Nyírcsaholy,47.9,22.3333
Nyíregyháza,47.9554,21.7167
Nyírgyulaj,47.8833,22.1
Nyírkarász,48.1,22.1
Nyírlugos,47.7,22.05
Nyírmada,48.0667,22.2
Nyírmeggyes,47.9167,22.2667
Nyírmihálydi,47.7333,21.9833
Nyírpazony,47.9833,21.8
Nyírtass,48.1167,22.0333
Nyírtelek,48.0167,21.6333
Nyírvasvári,47.8167,22.1833
Petneháza,48.0667,22.0833
Porcsalma,47.8833,22.5667
Pátroha,48.1667,22
Rakamaz,48.1333,21.4667
Szakoly,47.7667,21.9167
Szamosszeg,48.05,22.3667
Tarpa,48.1,22.5333
Tiszabercel,48.15,21.65
Tiszabezdéd,48.3667,22.15
Tiszadada,48.0333,21.25
Tiszadob,48.0167,21.1667
Tiszaeszlár,48.05,21.4667
Tiszalök,48.0167,21.3833
Tiszanagyfalu,48.1,21.4833
Tiszavasvári,47.9667,21.35
Tornyospálca,48.2667,22.1833
Tunyogmatolcs,47.9667,22.4667
Tuzsér,48.35,22.1333
Tyukod,47.85,22.55
Vaja,48,22.1667
Vásárosnamény,48.1333,22.3167
Záhony,48.4167,22.1833
Ófehértó,47.9333,22.05
Ópályi,48,22.3167
Ököritófülpös,47.9167,22.5167
Újfehértó,47.8,21.6833
