<SIZE>29
<LANG>EN
<STATE>Tolna,TO
Bogyiszló,46.3833,18.8333
Bonyhád,46.3,18.5333
Báta,46.1333,18.7833
Bátaszék,46.1833,18.7333
Bölcske,46.7333,18.9667
Decs,46.2833,18.7667
Dombóvár,46.3833,18.1167
Dunaföldvár,46.8,18.9333
Dunaszentgyörgy,46.5333,18.8333
Döbrököz,46.4167,18.25
Fadd,46.4667,18.8333
Gyönk,46.55,18.4833
Hőgyész,46.4833,18.4167
Iregszemcse,46.7,18.1833
Madocsa,46.6833,18.9667
Nagydorog,46.6333,18.6667
Nagymányok,46.2833,18.4667
Németkér,46.7167,18.7667
Ozora,46.75,18.4
Paks,46.6333,18.8667
Pincehely,46.6833,18.45
Simontornya,46.75,18.55
Szedres,46.4833,18.6833
Szekszárd,46.35,18.7167
Tamási,46.6333,18.2833
Tengelic,46.5333,18.7167
Tolna,46.4333,18.7833
Zomba,46.4,18.5667
Őcsény,46.3167,18.7667
