<SIZE>24
<LANG>EN
<STATE>Veszprém,VE
Ajka,47.1,17.5667
Badacsonytomaj,46.8,17.5167
Balatonalmádi,47.0333,18.0167
Balatonfüred,46.95,17.8833
Balatonkenese,47.0333,18.1167
Berhida,47.1167,18.1333
Csabrendek,47.0167,17.3
Csetény,47.3167,18
Devecser,47.1,17.4333
Hajmáskér,47.1451,18.0196
Herend,47.1333,17.75
Hévíz,46.7833,17.1833
Litér,47.1,18.0167
Nemesvámos,47.05,17.8833
Pápa,47.3333,17.4667
Pétfürdő,47.1667,18.1167
Szentkirályszabadja,47.05,17.9667
Sümeg,46.9833,17.2833
Tapolca,46.8833,17.4333
Veszprém,47.1,17.9167
Várpalota,47.2,18.1333
Zirc,47.2636,17.8737
Úrkút,47.0833,17.6333
Ősi,47.15,18.2
