<SIZE>21
<LANG>EN
<STATE>Cork,CK
Blarney,51.9333,-8.56667
Passage West,51.8739,-8.34444
Skibbereen,51.55,-9.26667
Mitchelstown,52.2658,-8.26806
Ballyhander,51.6908,-8.60167
Bantry,51.6833,-9.45
Carrigaline,51.8117,-8.39861
Kanturk,52.1667,-8.9
Kinsale,51.7075,-8.53056
Clonakilty,51.6231,-8.87056
Cobh,51.8572,-8.29917
Cork,51.8986,-8.49583
Bandon,51.7469,-8.7425
Dunmanway,51.7167,-9.11667
Youghal,51.95,-7.85056
Macroom,51.9,-8.95
Midleton,51.9094,-8.17361
Fermoy,52.1358,-8.27583
Mallow,52.1333,-8.63333
Ráth Luirc,52.35,-8.68333
Tower,51.9167,-8.6
