<SIZE>36
<LANG>EN,IT
<STATE>Regione Basilicata,BC
Avigliano,Avigliano,40.7329,15.72
Bella,Bella,40.7609,15.5406
Bernalda,Bernalda,40.4128,16.692
Ferrandina,Ferrandina,40.5012,16.4547
Genzano di Lucania,Genzano di Lucania,40.8479,16.0308
Grassano,Grassano,40.6326,16.2828
Grumento Nova,Grumento Nova,40.2828,15.8888
Irsina,Irsina,40.7496,16.2358
Lagonegro,Lagonegro,40.1283,15.7615
Latronico,Latronico,40.0898,16.0118
Laurenzana,Laurenzana,40.4605,15.971
Lauria,Lauria,40.0465,15.8358
Lavello,Lavello,41.0456,15.7908
Maratea,Maratea,39.9967,15.7224
Marsico Nuovo,Marsico Nuovo,40.423,15.7349
Matera,Matera,40.6685,16.6016
Melfi,Melfi,40.9965,15.6514
Montalbano Jonico,Montalbano Jonico,40.2879,16.5788
Montescaglioso,Montescaglioso,40.5522,16.6669
Muro Lucano,Muro Lucano,40.7525,15.4858
Nova Siri,Nova Siri,40.1482,16.5389
Palazzo San Gervasio,Palazzo San Gervasio,40.9313,15.9808
Picerno,Picerno,40.6403,15.6433
Pignola,Pignola,40.5731,15.7832
Pisticci,Pisticci,40.3906,16.5568
Policoro,Policoro,40.2115,16.6726
Potenza,Potenza,40.6443,15.8086
Rionero in Vulture,Rionero in Vulture,40.9257,15.67
Sant'Arcangelo,Sant'Arcangelo,40.2473,16.2712
Scanzano Jonico,Scanzano Jonico,40.2498,16.6984
Senise,Senise,40.1471,16.2889
Stigliano,Stigliano,40.4009,16.2311
Tito,Tito,40.5836,15.6755
Tricarico,Tricarico,40.6176,16.1465
Tursi,Tursi,40.2452,16.4697
Venosa,Venosa,40.9613,15.8149
