<SIZE>62
<LANG>EN,IT
<STATE>Friuli,FV
Aviano,Aviano,46.0706,12.5947
Azzano Decimo,Azzano Decimo,45.8831,12.7131
Brugnera,Brugnera,45.9044,12.5264
Buja,Buja,46.2066,13.1158
Campoformido,Campoformido,46.0208,13.1625
Caneva,Caneva,45.9689,12.4497
Casarsa della Delizia,Casarsa della Delizia,45.9481,12.8375
Cervignano del Friuli,Cervignano del Friuli,45.8211,13.3381
Cividale del Friuli,Cividale del Friuli,46.0931,13.4275
Codroipo,Codroipo,45.96,12.9792
Cordenons,Cordenons,45.9897,12.7019
Cormons,Cormons,45.9606,13.4722
Duino-Aurisina,Duino-Aurisina,45.7475,13.6786
Erto e Casso,Erto e Casso,46.2764,12.3697
Fagagna,Fagagna,46.1142,13.0939
Fiume Veneto,Fiume Veneto,45.9328,12.7308
Fontanafredda,Fontanafredda,45.9756,12.5683
Forni di Sopra,Forni di Sopra,46.4269,12.5792
Gemona del Friuli,Gemona,46.2794,13.1431
Gorizia,Gorizia,45.945,13.5978
Gradisca d'Isonzo,Gradisca d'Isonzo,45.8925,13.5017
Grado,Grado,45.6786,13.3869
Latisana,Latisana,45.7792,13
Lignano Sabbiadoro,Lignano Sabbiadoro,45.6922,13.1481
Majano,Majano,46.1875,13.0616
Maniago,Maniago,46.1706,12.7078
Manzano,Manzano,45.9917,13.3839
Martignacco,Martignacco,46.0964,13.1378
Monfalcone,Monfalcone,45.8072,13.5342
Muggia,Muggia,45.6031,13.7672
Palmanova,Palmanova,45.9064,13.3119
Pasian di Prato,Pasian di Prato,46.0486,13.1875
Pasiano di Pordenone,Pasiano di Pordenone,45.8497,12.6272
Pavia di Udine,Pavia di Udine,45.9981,13.3047
Pontebba,Pontebba,46.5072,13.3114
Porcia,Porcia,45.96,12.6072
Pordenone,Pordenone,45.9639,12.6575
Povoletto,Povoletto,46.1197,13.3
Pozzuolo del Friuli,Pozzuolo del Friuli,45.9878,13.1956
Prata di Pordenone,Prata di Pordenone,45.9069,12.595
Prato Carnico,Prato Carnico,46.5258,12.8122
Remanzacco,Remanzacco,46.0867,13.3244
Ronchi dei Legionari,Ronchi dei Legionari,45.8236,13.5097
Rosa,Rosa,45.9306,12.8708
Sacile,Sacile,45.9553,12.5019
San Canzian d'Isonzo,San Canzian d'Isonzo,45.7975,13.4664
San Daniele del Friuli,San Daniele del Friuli,46.1614,13.0142
San Dorligo della Valle,San Dorligo della Valle,45.6028,13.8619
San Giorgio di Nogaro,San Giorgio di Nogaro,45.8336,13.2158
San Giovanni al Natisone,San Giovanni al Natisone,45.9797,13.4033
San Vito al Tagliamento,San Vito al Tagliamento,45.9144,12.85
Sesto al Reghena,Sesto al Reghena,45.8486,12.8172
Spilimbergo,Spilimbergo,46.1125,12.8969
Staranzano,Staranzano,45.8072,13.5033
Tarcento,Tarcento,46.2122,13.2258
Tarvisio,Tarvisio,46.5108,13.5942
Tavagnacco,Tavagnacco,46.1339,13.1764
Tolmezzo,Tolmezzo,46.4075,13.0175
Tricesimo,Tricesimo,46.1672,13.2014
Trieste,Trieste,45.6486,13.78
Udine,Udine,46.0619,13.2422
Zoppola,Zoppola,45.9661,12.7675
