<SIZE>402
<LANG>EN,IT
<STATE>Lombardia,LM
Abbiategrasso,Abbiategrasso,45.4008,8.91854
Adro,Adro,45.6179,9.96266
Agrate Brianza,Agrate Brianza,45.5778,9.35145
Albano Sant'Alessandro,Albano Sant'Alessandro,45.6865,9.77066
Albavilla,Albavilla,45.8004,9.18504
Albiate,Albiate,45.6571,9.25614
Albino,Albino,45.7638,9.79636
Almenno San Salvatore,Almenno San Salvatore,45.7502,9.59625
Almè,Almè,45.736,9.61415
Alzano Lombardo,Alzano Lombardo,45.7334,9.72865
Angera,Angera,45.7774,8.59003
Appiano Gentile,Appiano Gentile,45.7376,8.97874
Arcisate,Arcisate,45.8558,8.86823
Arconate,Arconate,45.542,8.84854
Arcore,Arcore,45.6267,9.32555
Arese,Arese,45.5523,9.07654
Arluno,Arluno,45.5051,8.94154
Asola,Asola,45.2211,10.4136
Assago,Assago,45.4089,9.12565
Azzano San Paolo,Azzano San Paolo,45.658,9.67305
Bagnolo Mella,Bagnolo Mella,45.4291,10.1844
Bagnolo San Vito,Bagnolo San Vito,45.0897,10.8754
Bagolino,Bagolino,45.8252,10.4595
Baranzate,Baranzate,45.5272,9.11724
Bareggio,Bareggio,45.4877,8.99994
Barlassina,Barlassina,45.6543,9.12974
Basiglio,Basiglio,45.3592,9.15855
Bedizzole,Bedizzole,45.5104,10.4233
Belgioioso,Belgioioso,45.1586,9.31376
Bellusco,Bellusco,45.6196,9.41905
Bergamo,Bergamo,45.698,9.66895
Bernareggio,Bernareggio,45.6478,9.40505
Besana in Brianza,Besana in Brianza,45.7038,9.28594
Besozzo,Besozzo,45.852,8.66923
Biassono,Biassono,45.6299,9.27045
Binasco,Binasco,45.3319,9.09905
Bollate,Bollate,45.5465,9.12054
Bonate Sopra,Bonate Sopra,45.6834,9.55975
Bonate Sotto,Bonate Sotto,45.6682,9.55865
Borgosatollo,Borgosatollo,45.4808,10.2411
Botticino,Botticino,45.536,10.3019
Bovezzo,Bovezzo,45.5915,10.2413
Bovisio-Masciago,Bovisio-Masciago,45.61,9.15564
Bregnano,Bregnano,45.6978,9.05934
Brembate,Brembate,45.6048,9.55655
Brembate di Sopra,Brembate di Sopra,45.7167,9.57945
Brescia,Brescia,45.5248,10.2273
Bresso,Bresso,45.5379,9.19755
Briosco,Briosco,45.7101,9.24064
Broni,Broni,45.0655,9.26226
Brugherio,Brugherio,45.5573,9.29405
Buccinasco,Buccinasco,45.4072,9.10825
Bussero,Bussero,45.5341,9.37205
Busto Arsizio,Busto Arsizio,45.6122,8.84274
Busto Garolfo,Busto Garolfo,45.5477,8.88564
Cabiate,Cabiate,45.6742,9.17374
Cadorago,Cadorago,45.7273,9.03784
Cairate,Cairate,45.6893,8.86944
Calcinato,Calcinato,45.4572,10.4136
Calolziocorte,Calolziocorte,45.7954,9.43765
Calusco d'Adda,Calusco d'Adda,45.6914,9.47265
Calvisano,Calvisano,45.3482,10.345
Canegrate,Canegrate,45.5693,8.92844
Cantù,Cantù,45.7294,9.14054
Capriate San Gervasio,Capriate San Gervasio,45.6126,9.52875
Capriolo,Capriolo,45.6353,9.93236
Carate Brianza,Carate Brianza,45.6737,9.23594
Caravaggio,Caravaggio,45.4989,9.64046
Cardano al Campo,Cardano al Campo,45.6489,8.76933
Carnago,Carnago,45.7221,8.83424
Carnate,Carnate,45.6516,9.37695
Caronno Pertusella,Caronno Pertusella,45.5978,9.04634
Carpenedolo,Carpenedolo,45.3645,10.4313
Carugate,Carugate,45.5498,9.34375
Carugo,Carugo,45.7085,9.19684
Casalmaggiore,Casalmaggiore,44.9939,10.4189
Casalpusterlengo,Casalpusterlengo,45.1769,9.64906
Casatenovo,Casatenovo,45.6964,9.31165
Casorate Primo,Casorate Primo,45.3124,9.01685
Casorate Sempione,Casorate Sempione,45.671,8.74343
Cassano Magnago,Cassano Magnago,45.6692,8.82673
Cassano d'Adda,Cassano d'Adda,45.5236,9.51395
Cassina de' Pecchi,Cassina de' Pecchi,45.5164,9.35975
Cassolnovo,Cassolnovo,45.3612,8.80864
Castano Primo,Castano Primo,45.5536,8.77544
Casteggio,Casteggio,45.0101,9.12235
Castegnato,Castegnato,45.5602,10.114
Castel Goffredo,Castel Goffredo,45.2986,10.4754
Castel Mella,Castel Mella,45.5074,10.1467
Castelcovati,Castelcovati,45.502,9.94596
Castellanza,Castellanza,45.6124,8.90114
Castelleone,Castelleone,45.2939,9.76166
Castelli Calepio,Castelli Calepio,45.6336,9.90286
Castenedolo,Castenedolo,45.4695,10.2957
Castiglione Olona,Castiglione Olona,45.7532,8.87453
Castiglione delle Stiviere,Castiglione delle Stiviere,45.3906,10.4853
Castrezzato,Castrezzato,45.5113,9.98086
Cava Manara,Cava Manara,45.1402,9.10685
Cavenago di Brianza,Cavenago di Brianza,45.5841,9.41445
Cazzago San Martino,Cazzago San Martino,45.5938,10.0419
Ceriano Laghetto,Ceriano Laghetto,45.6304,9.07834
Cermenate,Cermenate,45.7029,9.08584
Cernobbio,Cernobbio,45.8411,9.06704
Cernusco sul Naviglio,Cernusco sul Naviglio,45.5229,9.32275
Cerro Maggiore,Cerro Maggiore,45.5953,8.95024
Cesano Boscone,Cesano Boscone,45.4421,9.09445
Cesano Maderno,Cesano Maderno,45.6304,9.15224
Cesate,Cesate,45.5959,9.07574
Chiari,Chiari,45.5359,9.93036
Chiavenna,Chiavenna,46.3216,9.39864
Chiuduno,Chiuduno,45.6507,9.84946
Cinisello Balsamo,Cinisello Balsamo,45.5571,9.22185
Cisano Bergamasco,Cisano Bergamasco,45.7425,9.47025
Cislago,Cislago,45.6588,8.97194
Clusone,Clusone,45.8871,9.94966
Coccaglio,Coccaglio,45.5646,9.97426
Codogno,Codogno,45.1619,9.70216
Cogliate,Cogliate,45.646,9.07884
Colico,Colico,46.1324,9.36984
Cologne,Cologne,45.5814,9.94136
Cologno Monzese,Cologno Monzese,45.5357,9.27635
Cologno al Serio,Cologno al Serio,45.5821,9.70876
Como,Como,45.81,9.08744
Concesio,Concesio,45.6052,10.217
Concorezzo,Concorezzo,45.5897,9.33595
Corbetta,Corbetta,45.4714,8.91584
Cormano,Cormano,45.5396,9.17095
Cornaredo,Cornaredo,45.497,9.02614
Cornate d'Adda,Cornate d'Adda,45.6417,9.46735
Corrido,Corrido,46.0476,9.13554
Corsico,Corsico,45.432,9.10535
Corte Franca,Corte Franca,45.63,9.98846
Cosio Valtellino,Cosio Valtellino,46.1351,9.55164
Costa Volpino,Costa Volpino,45.8299,10.0982
Crema,Crema,45.3588,9.66826
Cremona,Cremona,45.1362,10.028
Cuggiono,Cuggiono,45.5109,8.81544
Curno,Curno,45.689,9.60705
Curtatone,Curtatone,45.1528,10.7147
Cusano Milanino,Cusano Milanino,45.5531,9.18344
Dalmine,Dalmine,45.6493,9.60395
Darfo Boario Terme,Darfo Boario Terme,45.8938,10.1857
Desenzano del Garda,Desenzano del Garda,45.468,10.534
Desio,Desio,45.6202,9.20424
Erba,Erba,45.8096,9.23124
Erbusco,Erbusco,45.5987,9.97186
Fagnano Olona,Fagnano Olona,45.6698,8.85994
Fara Gera d'Adda,Fara Gera d'Adda,45.5557,9.53785
Ferno,Ferno,45.6162,8.75453
Fino Mornasco,Fino Mornasco,45.7429,9.04764
Flero,Flero,45.4826,10.1735
Gaggiano,Gaggiano,45.4075,9.03934
Galbiate,Galbiate,45.8162,9.37805
Gallarate,Gallarate,45.664,8.79033
Gambolò,Gambolò,45.2642,8.85724
Gandino,Gandino,45.8079,9.89646
Garbagnate Milanese,Garbagnate Milanese,45.5765,9.07174
Gardone Val Trompia,Gardone Val Trompia,45.6942,10.187
Garlasco,Garlasco,45.1974,8.92375
Gavardo,Gavardo,45.5894,10.4426
Gavirate,Gavirate,45.8401,8.71983
Gerenzano,Gerenzano,45.6397,9.00104
Gessate,Gessate,45.5484,9.43775
Ghedi,Ghedi,45.4011,10.2793
Giussano,Giussano,45.6941,9.21124
Goito,Goito,45.2549,10.6721
