<SIZE>124
<LANG>EN,IT
<STATE>Lazio,LZ
Acquapendente,Acquapendente,42.7438,11.8642
Alatri,Alatri,41.7306,13.3402
Albano Laziale,Albano Laziale,41.726,12.6313
Amatrice,Amatrice,42.6266,13.2951
Anagni,Anagni,41.7447,13.1527
Anguillara Sabazia,Anguillara Sabazia,42.0875,12.2767
Anzio,Anzio,41.4853,12.6179
Aprilia,Aprilia,41.5895,12.6501
Aquino,Aquino,41.4911,13.7047
Arce,Arce,41.5866,13.5736
Ardea,Ardea,41.6087,12.5194
Ariccia,Ariccia,41.7201,12.6759
Arpino,Arpino,41.6474,13.6088
Artena,Artena,41.7414,12.9035
Borgorose,Borgorose,42.189,13.234
Boville Ernica,Boville Ernica,41.6425,13.4727
Bracciano,Bracciano,42.1004,12.1662
Campagnano di Roma,Campagnano di Roma,42.1388,12.3708
Canino,Canino,42.464,11.7512
Capena,Capena,42.1416,12.5408
Capranica,Capranica,42.2587,12.1721
Caprarola,Caprarola,42.3266,12.2358
Cassino,Cassino,41.4876,13.8315
Castel Gandolfo,Castel Gandolfo,41.7425,12.6489
Castel Madama,Castel Madama,41.9735,12.8685
Castelnuovo di Porto,Castelnuovo di Porto,42.1258,12.5012
Castro dei Volsci,Castro dei Volsci,41.5082,13.4063
Cave,Cave,41.8167,12.9338
Ceccano,Ceccano,41.5677,13.3333
Ceprano,Ceprano,41.5404,13.5122
Cervaro,Cervaro,41.4837,13.9053
Cerveteri,Cerveteri,41.9926,12.0924
Ciampino,Ciampino,41.8016,12.6066
Cisterna di Latina,Cisterna di Latina,41.5976,12.8305
Cittaducale,Cittaducale,42.3871,12.957
Civita Castellana,Civita Castellana,42.2952,12.4092
Civitavecchia,Civitavecchia,42.0931,11.8071
Colleferro,Colleferro,41.7262,13.0036
Cori,Cori,41.6444,12.9128
Fabrica di Roma,Fabrica di Roma,42.3351,12.2998
Fara in Sabina,Fara in Sabina,42.2089,12.7292
Ferentino,Ferentino,41.6953,13.2564
Fiano Romano,Fiano Romano,42.1595,12.5942
Fiuggi,Fiuggi,41.7986,13.2203
Fiumicino,Fiumicino,41.7628,12.2475
Fondi,Fondi,41.3541,13.4313
Fonte Nuova,Fonte Nuova,42.0017,12.6219
Formello,Formello,42.0825,12.4003
Formia,Formia,41.2611,13.6236
