<SIZE>71
<LANG>EN,IT
<STATE>The Marches,MH
Amandola,Amandola,42.9788,13.3546
Ancona,Ancona,43.5982,13.5101
Arcevia,Arcevia,43.5002,12.9413
Arquata del Tronto,Arquata del Tronto,42.7726,13.2963
Ascoli Piceno,Ascoli Piceno,42.8471,13.6303
Cagli,Cagli,43.5457,12.6527
Camerano,Camerano,43.5313,13.5516
Camerino,Camerino,43.1399,13.0692
Cartoceto,Cartoceto,43.7657,12.8835
Castel di Lama,Castel di Lama,42.8643,13.7193
Castelfidardo,Castelfidardo,43.4632,13.5452
Chiaravalle,Chiaravalle,43.6027,13.3246
Cingoli,Cingoli,43.3733,13.2025
Civitanova Marche,Civitanova Marche,43.307,13.7206
Colbordolo,Colbordolo,43.8201,12.7211
Corinaldo,Corinaldo,43.6499,13.0482
Corridonia,Corridonia,43.2511,13.5088
Cupra Marittima,Cupra Marittima,43.03,13.8579
Fabriano,Fabriano,43.3407,12.9073
Falconara Marittima,Falconara Marittima,43.6233,13.4031
Fano,Fano,43.8204,13.0121
Fermignano,Fermignano,43.684,12.6441
Fermo,Fermo,43.1647,13.7233
Filottrano,Filottrano,43.4367,13.3545
Folignano,Folignano,42.8202,13.6343
Fossombrone,Fossombrone,43.6908,12.8127
Gabicce Mare,Gabicce Mare,43.9629,12.7588
Grottammare,Grottammare,42.9888,13.8649
Jesi,Jesi,43.5288,13.2402
Loreto,Loreto,43.4354,13.6098
Macerata,Macerata,43.2982,13.4411
Maiolati Spontini,Maiolati Spontini,43.4777,13.1218
Matelica,Matelica,43.2541,13.0106
Mondolfo,Mondolfo,43.7494,13.0979
Monte San Giusto,Monte San Giusto,43.2358,13.5953
Monte San Vito,Monte San Vito,43.6006,13.2682
Monte Urano,Monte Urano,43.2027,13.6729
Montecassiano,Montecassiano,43.3674,13.4388
Montecosaro,Montecosaro,43.3185,13.6368
Montegiorgio,Montegiorgio,43.1323,13.5364
Montegranaro,Montegranaro,43.2355,13.631
Montelabbate,Montelabbate,43.8489,12.788
Montemarciano,Montemarciano,43.6389,13.3075
Monteprandone,Monteprandone,42.9201,13.8426
Morrovalle,Morrovalle,43.3165,13.5885
Novafeltria,Novafeltria,43.8949,12.2889
Offida,Offida,42.9357,13.7004
Osimo,Osimo,43.4828,13.4875
Ostra,Ostra,43.6139,13.1582
Pergola,Pergola,43.5566,12.8349
Pesaro,Pesaro,43.9036,12.8903
Pinocchio di Ancona,Pinocchio di Ancona,43.5833,13.5
Pollenza,Pollenza,43.266,13.3479
Porto Recanati,Porto Recanati,43.4365,13.6613
Porto San Giorgio,Porto San Giorgio,43.1827,13.7934
Porto Sant'Elpidio,Porto Sant'Elpidio,43.2583,13.7583
Potenza Picena,Potenza Picena,43.3684,13.6223
Recanati,Recanati,43.4039,13.5598
Saltara,Saltara,43.7537,12.8973
San Benedetto del Tronto,San Benedetto del Tronto,42.9349,13.8857
San Severino Marche,San Severino Marche,43.2282,13.1802
Sant'Angelo in Lizzola,Sant'Angelo in Lizzola,43.827,12.8008
Sant'Elpidio a Mare,Sant'Elpidio a Mare,43.2299,13.6861
Sassoferrato,Sassoferrato,43.4327,12.8573
Senigallia,Senigallia,43.7093,13.2167
Spinetoli,Spinetoli,42.8914,13.7702
Tolentino,Tolentino,43.2126,13.2901
Treia,Treia,43.3106,13.3115
Urbania,Urbania,43.6697,12.5201
Urbino,Urbino,43.7298,12.6356
Visso,Visso,42.9292,13.0874
