<SIZE>140
<LANG>EN,IT
<STATE>Piemonte,PM
Acqui Terme,Acqui Terme,44.6751,8.46755
Alba,Alba,44.6915,8.02564
Alessandria,Alessandria,44.9125,8.61895
Almese,Almese,45.1191,7.40111
Alpignano,Alpignano,45.1019,7.52662
Argentera,Argentera,44.3962,6.93822
Arona,Arona,45.7493,8.55583
Arquata Scrivia,Arquata Scrivia,44.6917,8.88066
Asti,Asti,44.8979,8.20684
Avigliana,Avigliana,45.0771,7.39862
Bagnolo Piemonte,Bagnolo Piemonte,44.7603,7.31392
Bardonecchia,Bardonecchia,45.0783,6.7032
Barge,Barge,44.7275,7.32102
Beinasco,Beinasco,45.0231,7.58392
Bellinzago Novarese,Bellinzago Novarese,45.5688,8.64323
Biella,Biella,45.5599,8.05002
Borgaro Torinese,Borgaro Torinese,45.1483,7.65672
Borgo San Dalmazzo,Borgo San Dalmazzo,44.333,7.48583
Borgomanero,Borgomanero,45.7024,8.45813
Borgosesia,Borgosesia,45.7145,8.27992
Boves,Boves,44.332,7.55143
Bra,Bra,44.703,7.85563
Brandizzo,Brandizzo,45.1772,7.83772
Bruino,Bruino,45.0099,7.48422
Busca,Busca,44.5181,7.47433
Bussoleno,Bussoleno,45.1403,7.14641
Buttigliera Alta,Buttigliera Alta,45.0698,7.42842
Caluso,Caluso,45.305,7.89572
Cambiano,Cambiano,44.9683,7.77203
Cameri,Cameri,45.5033,8.66284
Canale,Canale,44.7985,7.99733
Candelo,Candelo,45.547,8.10572
Candiolo,Candiolo,44.9592,7.60172
Canelli,Canelli,44.7215,8.29244
Cannero Riviera,Cannero Riviera,46.023,8.68613
Caraglio,Caraglio,44.4194,7.43293
Carignano,Carignano,44.9069,7.67322
Carmagnola,Carmagnola,44.847,7.71803
Casale Monferrato,Casale Monferrato,45.1334,8.45714
Caselle Torinese,Caselle Torinese,45.1778,7.64262
Casteldelfino,Casteldelfino,44.5896,7.06982
Castellamonte,Castellamonte,45.382,7.71212
Castelletto sopra Ticino,Castelletto sopra Ticino,45.72,8.62923
Castelnuovo Scrivia,Castelnuovo Scrivia,44.9805,8.88125
Castiglione Torinese,Castiglione Torinese,45.119,7.80712
Cavallermaggiore,Cavallermaggiore,44.7098,7.68633
Cavour,Cavour,44.7889,7.37612
Centallo,Centallo,44.5015,7.58783
Cerano,Cerano,45.411,8.78004
Ceva,Ceva,44.3825,8.02554
Cherasco,Cherasco,44.6477,7.85843
Chieri,Chieri,45.0139,7.82233
Chivasso,Chivasso,45.1894,7.88722
Cirié,Cirié,45.2351,7.59882
Collegno,Collegno,45.0775,7.57242
Cossato,Cossato,45.5739,8.18172
Costigliole d'Asti,Costigliole d'Asti,44.7839,8.18094
Crescentino,Crescentino,45.1905,8.09993
Cumiana,Cumiana,44.9797,7.37672
Cuneo,Cuneo,44.3973,7.54453
Cuorgnè,Cuorgnè,45.3895,7.64992
Domodossola,Domodossola,46.1135,8.28961
Dronero,Dronero,44.4657,7.35133
Druento,Druento,45.1347,7.57662
Fabbrica Curone,Fabbrica Curone,44.785,9.14756
Formazza,Formazza,46.3769,8.42571
Fossano,Fossano,44.5489,7.72013
Galliate,Galliate,45.4816,8.69674
Gassino Torinese,Gassino Torinese,45.1316,7.82762
Gattinara,Gattinara,45.6179,8.36743
Giaveno,Giaveno,45.047,7.34922
Gozzano,Gozzano,45.7465,8.43672
Gravellona Toce,Gravellona Toce,45.9302,8.43122
Groscavallo,Groscavallo,45.368,7.25801
Grugliasco,Grugliasco,45.068,7.57762
Ivrea,Ivrea,45.4581,7.87192
La Loggia,La Loggia,44.9577,7.66732
Lanzo Torinese,Lanzo Torinese,45.2734,7.47961
Leinì,Leinì,45.1828,7.71422
Luserna San Giovanni,Luserna San Giovanni,44.8154,7.25132
Macugnaga,Macugnaga,45.9699,7.96601
Moncalieri,Moncalieri,44.9962,7.69032
Mondovì,Mondovì,44.396,7.81764
Montanaro,Montanaro,45.2336,7.85332
Nichelino,Nichelino,44.994,7.64182
Nizza Monferrato,Nizza Monferrato,44.7738,8.35394
Nole,Nole,45.2412,7.57312
None,None,44.9331,7.54012
Novara,Novara,45.4406,8.61683
Novi Ligure,Novi Ligure,44.7608,8.78955
Oleggio,Oleggio,45.6015,8.64343
Omegna,Omegna,45.8798,8.40802
Orbassano,Orbassano,45.0038,7.53992
Ormea,Ormea,44.1557,7.92444
Ovada,Ovada,44.6383,8.64525
Peveragno,Peveragno,44.3315,7.61983
Pezzolo Valle Uzzone,Pezzolo Valle Uzzone,44.5387,8.19394
Pianezza,Pianezza,45.1058,7.54342
Pinerolo,Pinerolo,44.8833,7.35
Pino Torinese,Pino Torinese,45.0395,7.77712
Piossasco,Piossasco,44.9905,7.46372
Poirino,Poirino,44.9208,7.84693
Racconigi,Racconigi,44.7698,7.67893
Rivalta di Torino,Rivalta di Torino,45.034,7.51842
Rivarolo Canavese,Rivarolo Canavese,45.3312,7.71702
Rivoli,Rivoli,45.0715,7.52622
Saluzzo,Saluzzo,44.6464,7.48623
Salza di Pinerolo,Salza di Pinerolo,44.94,7.05241
San Benigno Canavese,San Benigno Canavese,45.2271,7.78502
San Damiano d'Asti,San Damiano d'Asti,44.8334,8.06353
San Maurizio Canavese,San Maurizio Canavese,45.217,7.63052
San Mauro Torinese,San Mauro Torinese,45.1059,7.75452
Santena,Santena,44.9462,7.77303
Santhià,Santhià,45.3663,8.17263
Savigliano,Savigliano,44.644,7.65593
Serravalle Scrivia,Serravalle Scrivia,44.7216,8.85915
Serravalle Sesia,Serravalle Sesia,45.6856,8.31092
Settimo Torinese,Settimo Torinese,45.1403,7.76802
Sommariva del Bosco,Sommariva del Bosco,44.7687,7.78533
Strambino,Strambino,45.3815,7.88572
Susa,Susa,45.1375,7.05461
