<SIZE>174
<LANG>EN,IT
<STATE>Apulia,PU
Acquaviva delle Fonti,Acquaviva delle Fonti,40.8978,16.8425
Adelfia,Adelfia,41.0042,16.8717
Alberobello,Alberobello,40.7859,17.2372
Alessano,Alessano,39.8886,18.331
Alezio,Alezio,40.0613,18.0582
Alliste,Alliste,39.9486,18.0888
Altamura,Altamura,40.8292,16.5537
Andrano,Andrano,39.9832,18.3825
Andria,Andria,41.2306,16.2909
Anzano di Puglia,Anzano di Puglia,41.1225,15.2844
Apricena,Apricena,41.7839,15.4437
Aradeo,Aradeo,40.1309,18.1296
Ascoli Satriano,Ascoli Satriano,41.2061,15.5615
Avetrana,Avetrana,40.3529,17.7349
Bari,Bari,41.1177,16.8512
Barletta,Barletta,41.3118,16.2908
Bisceglie,Bisceglie,41.242,16.5044
Bitetto,Bitetto,41.0386,16.7469
Bitonto,Bitonto,41.1108,16.6894
Bitritto,Bitritto,41.0445,16.8252
Brindisi,Brindisi,40.6277,17.9368
Cagnano Varano,Cagnano Varano,41.8287,15.7732
Calimera,Calimera,40.2503,18.2779
Campi Salentina,Campi Salentina,40.3994,18.0186
Canosa di Puglia,Canosa di Puglia,41.2196,16.0675
Capurso,Capurso,41.0469,16.9216
Carapelle,Carapelle,41.3652,15.6938
Carmiano,Carmiano,40.3448,18.043
Carosino,Carosino,40.4658,17.3976
Carovigno,Carovigno,40.708,17.655
Casamassima,Casamassima,40.9571,16.9204
Casarano,Casarano,40.015,18.163
Cassano delle Murge,Cassano delle Murge,40.8928,16.7678
Castellana Grotte,Castellana Grotte,40.8864,17.1655
Castellaneta,Castellaneta,40.6272,16.9369
Castrignano del Capo,Castrignano del Capo,39.8323,18.3512
Cavallino,Cavallino,40.3125,18.2004
Ceglie Messapica,Ceglie Messapica,40.6439,17.5155
Celenza Valfortore,Celenza Valfortore,41.5617,14.9788
Cellino San Marco,Cellino San Marco,40.4722,17.9663
Cerignola,Cerignola,41.264,15.9005
