<SIZE>149
<LANG>EN,IT
<STATE>Tuscany,TC
Abbadia San Salvatore,Abbadia San Salvatore,42.8821,11.6695
Agliana,Agliana,43.9066,11.0062
Altopascio,Altopascio,43.8157,10.6739
Anghiari,Anghiari,43.5409,12.0595
Arezzo,Arezzo,43.4614,11.8769
Asciano,Asciano,43.2351,11.5763
Aulla,Aulla,44.2145,9.96779
Bagni di Lucca,Bagni di Lucca,44.0086,10.5785
Bagno a Ripoli,Bagno a Ripoli,43.7511,11.3225
Barberino di Mugello,Barberino di Mugello,44.0027,11.2371
Barga,Barga,44.0742,10.4808
Bibbiena,Bibbiena,43.6966,11.8135
Bientina,Bientina,43.7063,10.6197
Borgo San Lorenzo,Borgo San Lorenzo,43.9554,11.3835
Borgo a Mozzano,Borgo a Mozzano,43.9789,10.5457
Bucine,Bucine,43.4764,11.6148
Buggiano,Buggiano,43.8754,10.7335
Buti,Buti,43.7289,10.5858
Calci,Calci,43.7236,10.5183
Calcinaia,Calcinaia,43.6835,10.6182
Calenzano,Calenzano,43.8559,11.1627
Camaiore,Camaiore,43.9097,10.2419
Campi Bisenzio,Campi Bisenzio,43.8246,11.1324
Campiglia Marittima,Campiglia Marittima,43.0602,10.6152
Capannoli,Capannoli,43.5891,10.6689
Capannori,Capannori,43.8747,10.5728
Capraia Isola,Capraia Isola,43.0481,9.843
Capraia e Limite,Capraia e Limite,43.7453,10.9834
Carmignano,Carmignano,43.8113,11.0155
Carrara,Carrara,44.0629,10.0607
Cascina,Cascina,43.6791,10.4994
Castagneto Carducci,Castagneto Carducci,43.1607,10.6109
Castelfiorentino,Castelfiorentino,43.61,10.9692
Castelfranco di Sotto,Castelfranco di Sotto,43.7015,10.7455
Castelnuovo Berardenga,Castelnuovo Berardenga,43.3463,11.5033
Castelnuovo di Garfagnana,Castelnuovo di Garfagnana,44.1213,10.4046
Castiglion Fiorentino,Castiglion Fiorentino,43.3428,11.918
Castiglione della Pescaia,Castiglione della Pescaia,42.7647,10.8801
Cavriglia,Cavriglia,43.5202,11.4869
Cecina,Cecina,43.3128,10.524
Cerreto Guidi,Cerreto Guidi,43.7607,10.8761
Certaldo,Certaldo,43.547,11.0402
Chianciano Terme,Chianciano Terme,43.0439,11.8124
Chiusi,Chiusi,43.016,11.9474
Cinigiano,Cinigiano,42.8903,11.3917
Civitella in Val di Chiana,Civitella in Val di Chiana,43.4176,11.7233
Colle di Val d'Elsa,Colle di Val d'Elsa,43.4151,11.1314
Collesalvetti,Collesalvetti,43.5888,10.4748
Cortona,Cortona,43.2747,11.9853
Empoli,Empoli,43.7175,10.9414
Fiesole,Fiesole,43.8049,11.2941
Figline Valdarno,Figline Valdarno,43.6195,11.4693
Fivizzano,Fivizzano,44.2383,10.126
Florence,Firenze,43.7667,11.25
Foiano della Chiana,Foiano della Chiana,43.2556,11.8153
Follonica,Follonica,42.9263,10.7616
Forte dei Marmi,Forte dei Marmi,43.9648,10.1724
Fucecchio,Fucecchio,43.7278,10.8101
Gavorrano,Gavorrano,42.9242,10.9092
Greve in Chianti,Greve in Chianti,43.5865,11.3163
Grosseto,Grosseto,42.7714,11.1079
Impruneta,Impruneta,43.6869,11.2548
Incisa in Val d'Arno,Incisa in Val d'Arno,43.6557,11.4486
Lamporecchio,Lamporecchio,43.8087,10.8886
Larciano,Larciano,43.8336,10.89
Lari,Lari,43.5679,10.5926
Lastra a Signa,Lastra a Signa,43.7713,11.1028
Livorno,Livorno,43.5426,10.316
Loro Ciuffenna,Loro Ciuffenna,43.5856,11.6275
Lucca,Lucca,43.8436,10.5058
Manciano,Manciano,42.5879,11.5162
Massa,Massa,44.022,10.1141
Massa Marittima,Massa Marittima,43.049,10.8928
Massa e Cozzile,Massa e Cozzile,43.9092,10.7444
Massarosa,Massarosa,43.8676,10.3397
Monsummano Terme,Monsummano Terme,43.8703,10.8123
Montalcino,Montalcino,43.0582,11.4896
Montale,Montale,43.9356,11.0171
Monte Argentario,Monte Argentario,42.4345,11.1195
Monte San Savino,Monte San Savino,43.3292,11.7297
Montecatini Terme,Montecatini Terme,43.8835,10.7736
Montelupo Fiorentino,Montelupo Fiorentino,43.7307,11.0196
Montemurlo,Montemurlo,43.9216,11.0311
Montepulciano,Montepulciano,43.1017,11.7868
Monteriggioni,Monteriggioni,43.3899,11.2232
Monteroni d'Arbia,Monteroni d'Arbia,43.2293,11.4209
Montespertoli,Montespertoli,43.6442,11.0737
Montevarchi,Montevarchi,43.5276,11.5689
Montignoso,Montignoso,44.024,10.1726
Montopoli in Val d'Arno,Montopoli in Val d'Arno,43.6735,10.7495
Orbetello,Orbetello,42.4419,11.2239
Palazzuolo sul Senio,Palazzuolo sul Senio,44.1139,11.5474
Pelago,Pelago,43.7731,11.5039
Pescia,Pescia,43.897,10.6904
Pian di Scò,Pian di Scò,43.6419,11.5452
Pietrasanta,Pietrasanta,43.9522,10.2248
Pieve a Nievole,Pieve a Nievole,43.8717,10.8015
Piombino,Piombino,42.9348,10.5221
Pisa,Pisa,43.7175,10.3965
Pistoia,Pistoia,43.9212,10.9236
Poggibonsi,Poggibonsi,43.4724,11.1456
Poggio a Caiano,Poggio a Caiano,43.8136,11.0507
Pomarance,Pomarance,43.2989,10.8728
Ponsacco,Ponsacco,43.6238,10.6291
Pontassieve,Pontassieve,43.7737,11.4282
Ponte Buggianese,Ponte Buggianese,43.8428,10.7476
Pontedera,Pontedera,43.6616,10.6317
Pontremoli,Pontremoli,44.3752,9.87888
Poppi,Poppi,43.7349,11.7607
Porcari,Porcari,43.8441,10.6164
Portoferraio,Portoferraio,42.8115,10.3146
Prato,Prato,43.8843,11.0909
Quarrata,Quarrata,43.8498,10.9807
