<SIZE>30
<LANG>EN,IT
<STATE>Umbria,UM
Amelia,Amelia,42.5523,12.4182
Assisi,Assisi,43.0691,12.6165
Bastia Umbra,Bastia Umbra,43.0679,12.5456
Castiglione del Lago,Castiglione del Lago,43.1271,12.0452
Città della Pieve,Città della Pieve,42.9539,12.0049
Città di Castello,Città di Castello,43.4691,12.2304
Corciano,Corciano,43.129,12.2874
Deruta,Deruta,42.9804,12.4151
Foligno,Foligno,42.944,12.7011
Gualdo Cattaneo,Gualdo Cattaneo,42.9118,12.5558
Gualdo Tadino,Gualdo Tadino,43.2316,12.781
Gubbio,Gubbio,43.3545,12.5725
Magione,Magione,43.1439,12.2069
Marsciano,Marsciano,42.9059,12.3359
Montefalco,Montefalco,42.8908,12.6483
Narni,Narni,42.5171,12.5231
Nocera Umbra,Nocera Umbra,43.1115,12.7872
Norcia,Norcia,42.7931,13.0954
Orvieto,Orvieto,42.7195,12.1116
Panicale,Panicale,43.0295,12.0994
Passignano sul Trasimeno,Passignano sul Trasimeno,43.1941,12.1292
Perugia,Perugia,43.0967,12.3829
San Giustino,San Giustino,43.5495,12.1735
Spello,Spello,42.9942,12.6655
Spoleto,Spoleto,42.7448,12.7374
Terni,Terni,42.5671,12.6499
Todi,Todi,42.7799,12.4046
Torgiano,Torgiano,43.0285,12.4414
Trevi,Trevi,42.8757,12.7442
Umbertide,Umbertide,43.3055,12.3366
