<SIZE>256
<LANG>EN,IT
<STATE>Veneto,VN
Abano Terme,Abano Terme,45.361,11.7914
Adria,Adria,45.0564,12.0578
Agordo,Agordo,46.2856,12.0375
Albaredo d'Adige,Albaredo d'Adige,45.316,11.2728
Albignasego,Albignasego,45.3475,11.8672
Altavilla Vicentina,Altavilla Vicentina,45.5155,11.4587
Altivole,Altivole,45.7537,11.9562
Arcole,Arcole,45.3568,11.2845
Arcugnano,Arcugnano,45.4958,11.5477
Arzignano,Arzignano,45.5193,11.3386
Asiago,Asiago,45.8751,11.5076
Asolo,Asolo,45.7923,11.9117
Badia Polesine,Badia Polesine,45.0972,11.4916
Bardolino,Bardolino,45.5434,10.7259
Bassano del Grappa,Bassano del Grappa,45.7676,11.7357
Belluno,Belluno,46.145,12.2214
Bolzano Vicentino,Bolzano Vicentino,45.6037,11.6233
Borgoricco,Borgoricco,45.5352,11.9411
Bovolone,Bovolone,45.2548,11.1263
Breda di Piave,Breda di Piave,45.7225,12.3308
Breganze,Breganze,45.7057,11.5668
Brendola,Brendola,45.4749,11.4423
Brugine,Brugine,45.2966,11.9951
Bussolengo,Bussolengo,45.4692,10.8506
Buttapietra,Buttapietra,45.3427,11.0011
Cadoneghe,Cadoneghe,45.4423,11.9277
Caerano di San Marco,Caerano di San Marco,45.7852,12.0028
Caldiero,Caldiero,45.4144,11.1774
Caldogno,Caldogno,45.6078,11.5028
Camisano Vicentino,Camisano Vicentino,45.5222,11.7077
Campagna Lupia,Campagna Lupia,45.3508,12.1006
Campo San Martino,Campo San Martino,45.5444,11.8104
Campodarsego,Campodarsego,45.5061,11.9209
Campolongo Maggiore,Campolongo Maggiore,45.3211,12.0467
Camponogara,Camponogara,45.385,12.0722
Camposampiero,Camposampiero,45.5684,11.9354
Caorle,Caorle,45.5997,12.8839
Caprino Veronese,Caprino Veronese,45.6049,10.7952
Carbonera,Carbonera,45.6806,12.2883
Carmignano di Brenta,Carmignano di Brenta,45.6309,11.7065
Casale sul Sile,Casale sul Sile,45.5931,12.3256
Casaleone,Casaleone,45.1738,11.1943
Casalserugo,Casalserugo,45.3191,11.913
Casier,Casier,45.6439,12.2944
Cassola,Cassola,45.7336,11.7994
Castel d'Azzano,Castel d'Azzano,45.3559,10.953
Castelfranco Veneto,Castelfranco Veneto,45.6761,11.926
Castelgomberto,Castelgomberto,45.5849,11.3957
Castello di Godego,Castello di Godego,45.6934,11.8769
Castelnuovo del Garda,Castelnuovo del Garda,45.4388,10.7598
Cavallino-Treporti,Cavallino-Treporti,45.485,12.55
Cavarzere,Cavarzere,45.1356,12.0817
Ceggia,Ceggia,45.6892,12.6367
Cerea,Cerea,45.1921,11.2103
Chiampo,Chiampo,45.5459,11.2796
Chioggia,Chioggia,45.2256,12.2889
Cittadella,Cittadella,45.65,11.7842
Codevigo,Codevigo,45.2686,12.1011
Codognè,Codognè,45.8708,12.4308
Cologna Veneta,Cologna Veneta,45.3103,11.3844
Colognola ai Colli,Colognola ai Colli,45.4337,11.1843
Concordia Sagittaria,Concordia Sagittaria,45.7594,12.8406
Conegliano,Conegliano,45.8906,12.2925
Conselve,Conselve,45.2309,11.8738
Cordignano,Cordignano,45.9469,12.4142
Cornedo Vicentino,Cornedo Vicentino,45.6131,11.3406
Cornuda,Cornuda,45.8231,12.0164
Correzzola,Correzzola,45.2336,12.0617
Cortina d'Ampezzo,Cortina d'Ampezzo,46.5361,12.1489
Costabissara,Costabissara,45.5836,11.4872
Creazzo,Creazzo,45.532,11.4785
Crocetta del Montello,Crocetta del Montello,45.8367,12.0336
Curtarolo,Curtarolo,45.5221,11.8358
Dolo,Dolo,45.4283,12.0725
Due Carrare,Due Carrare,45.2926,11.8184
Dueville,Dueville,45.6337,11.5502
Eraclea,Eraclea,45.5806,12.6756
Este,Este,45.2229,11.6587
Farra di Soligo,Farra di Soligo,45.9053,12.1244
Feltre,Feltre,46.0235,11.907
Fiesso d'Artico,Fiesso d'Artico,45.4214,12.0294
Fontanelle,Fontanelle,45.8472,12.4419
Fontaniva,Fontaniva,45.634,11.7486
Fonte,Fonte,45.7839,11.8746
Fossalta di Portogruaro,Fossalta di Portogruaro,45.7875,12.8939
Fossò,Fossò,45.3844,12.045
Gaiarine,Gaiarine,45.8806,12.4831
Galliera Veneta,Galliera Veneta,45.6635,11.8309
Gazzo Veronese,Gazzo Veronese,45.1402,11.0769
Godega di Sant'Urbano,Godega di Sant'Urbano,45.9314,12.3972
Grezzana,Grezzana,45.5203,11.0177
Jesolo,Jesolo,45.5331,12.6447
Isola Vicentina,Isola Vicentina,45.6309,11.4467
Isola della Scala,Isola della Scala,45.2722,11.009
Istrana,Istrana,45.6783,12.0997
Lavagno,Lavagno,45.4387,11.1341
Lazise,Lazise,45.5,10.7408
Legnago,Legnago,45.1832,11.3091
Legnaro,Legnaro,45.3398,11.9657
Lendinara,Lendinara,45.0843,11.5997
Limena,Limena,45.4723,11.8437
Longare,Longare,45.4733,11.6112
