<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Nara,29
生駒郡,,Ikoma,34.3912,135.4146,郡,いこま
,安堵町,Ando,34.3609,135.4456,町,あんど
,斑鳩町,Ikaruga,34.3712,135.4346,町,いかるが
,三郷町,Sango,34.3612,135.4046,町,さんごう
,平群町,Heguri,34.3737,135.4158,町,へぐり
生駒市,,Ikoma,34.4112,135.4146,市,いこま
宇陀郡,,Uda,34.3112,135.5946,郡,うだ
,菟田野町,Utano,34.2823,135.5824,町,うたの
,大宇陀町,Ouda,34.2838,135.5509,町,おおうだ
,曽爾村,Soni,34.3112,136.0546,村,そに
,榛原町,Haibara,34.3132,135.5721,町,はいばら
,御杖村,Mitsue,34.2912,136.0746,村,みつえ
,室生村,Muro,34.3412,136.0046,村,むろう
香芝市,,Kashiba,34.3319,135.4101,市,かしば
橿原市,,Kashihara,34.3012,135.4646,市,かしはら
北葛城郡,,Kitakatsuragi,34.3012,135.4209,郡,きたかつらぎ
,王寺町,Oji,34.3512,135.4146,町,おうじ
,河合町,Kawai,34.3426,135.4357,町,かわい
,上牧町,Kanmaki,34.3344,135.4246,町,かんまき
,広陵町,Koryo,34.3229,135.451,町,こうりょう
,新庄町,Shinjo,34.2851,135.4329,町,しんじょう
,當麻町,Taima,34.3031,135.4222,町,たいま
五條市,,Gojo,34.2041,135.4118,市,ごじょう
御所市,,Gose,34.2743,135.4415,市,ごせ
桜井市,,Sakurai,34.3112,135.4946,市,さくらい
磯城郡,,Shiki,34.3526,135.4204,郡,しき
,川西町,Kawanishi,34.3438,135.46,町,かわにし
,田原本町,Tawaramoto,34.3308,135.4739,町,たわらもと
,三宅町,Miyake,34.3409,135.4602,町,みやけ
添上郡,,Soekami,34.4212,135.5246,郡,そえかみ
,月ヶ瀬村,Tukigase,34.4249,136.0246,村,つきがせ
高市郡,,Takaichi,34.2812,135.4646,郡,たかいち
,明日香村,Asuka,34.2812,135.4909,村,あすか
,高取町,Takatori,34.2705,135.4714,町,たかとり
天理市,,Tenri,34.3612,135.4946,市,てんり
奈良市,,Nara,34.4056,135.4841,市,なら
大和郡山市,,Yamatokoriyama,34.3844,135.4701,市,やまとこおりやま
大和高田市,,Yamatotakada,34.3112,135.4346,市,やまとたかだ
山辺郡,,Yamabe,34.3912,135.5646,郡,やまべ
,都祁村,Tusge,34.3643,135.5719,村,つげ
,山添村,Yamazoe,34.4047,136.024,村,やまぞえ
吉野郡,,Yoshino ,34.2412,135.5446,郡,よしの
,大塔村,Oto,34.1011,135.4544,村,おおとう
,大淀町,Oyodo,34.2312,135.4646,町,おおよど
,上北山村,Kamikitayama,34.0739,136.001,村,かみきたやま
,川上村,Kawakami,34.1928,135.573,村,かわかみ
,黒滝村,Kurotaki ,34.1815,135.5139,村,くろたき
,下市町,Shimoichi,34.2104,135.472,町,しもいち
,下北山村,shiokitayama,34.0021,135.5736,村,しもきたやま
,天川村,Tenkawa,34.1433,135.5047,村,てんかわ
,十津川村,Totsukawa,33.5906,135.4742,村,とつかわ
,西吉野村,Nishiyoshino,34.1622,135.4514,村,にしよしの
,野迫川村,Nosegawa,34.0925,135.3828,村,のせがわ
,東吉野村,Higashiyoshino,34.2412,135.5826,村,ひがしよしの
,吉野町,Yoshino ,34.2324,135.5116,町,よしの
