<SIZE>4000
<LANG>EN,JA
Aichi,愛知県,23,あいち
Akita,秋田県,05,あきた
Aomori,青森県,02,あおもり
Chiba,千葉県,12,ちば
Ehime,愛媛県,38,えひめ
Fukui,福井県,18,ふくい
Fukuoka,福岡県,40,ふくおか
Fukushima,福島県,07,ふくしま
Gifu,岐阜県,21,ぎふ
Gunma,群馬県,10,ぐんま
Hiroshima,広島県,34,ひろしま
Hokkaido,北海道,01,ほっかいどう
Hyogo,兵庫県,28,ひょうご
Ibaraki,茨城県,08,いばらき
Ishikawa,石川県,17,いしかわ
Iwate,岩手県,03,いわて
Kagawa,香川県,37,かがわ
Kagoshima,鹿児島県,46,かごしま
Kanagawa,神奈川県,14,かながわ
Kumamoto,熊本県,43,くまもと
Kyoto,京都府,26,きょうと
Kochi,高知県,39,こうち
Mie,三重県,24,みえ
Miyagi,宮城県,04,みやぎ
Miyazaki,宮崎県,45,みやざき
Nagano,長野県,20,ながの
Nagasaki,長崎県,42,ながさき
Nara,奈良県,29,なら
Niigata,新潟県,15,にいがた
Okayama,岡山県,33,おかやま
Okinawa,沖縄県,47,おきなわ
Saga,佐賀県,41,さが
Saitama,埼玉県,11,さいたま
Shiga,滋賀県,25,しが
Shimane,島根県,32,しまね
Shizuoka,静岡県,22,しずおか
Tochigi,栃木県,09,とちぎ
Tokushima,徳島県,36,とくしま
Tottori,鳥取県,31,とっとり
Toyama,富山県,16,とやま
Tokyo,東京都,13,とうきょう
Wakayama,和歌山県,30,わかやま
Yamagata,山形県,06,やまがた
Yamaguchi,山口県,35,やまぐち
Yamanashi,山梨県,19,やまなし
Oita,大分県,44,おおいた
Osaka,大阪府,27,おおさか
