<SIZE>110
<LANG>EN
<STATE>LT,LT
Akmenė,56.25,22.75
Alytus,54.4,24.05
Anykščiai,55.5333,25.1
Ariogala,55.2667,23.4667
Baltoji Vokė,54.6,25.2
Birštonas,54.6167,24.0333
Biržai,56.2,24.75
Daugai,54.3667,24.3333
Dotnuva,55.35,23.9
Druskininkai,54.0167,23.9667
Dusetos,55.75,25.85
Dūkštas,55.5333,26.3333
Eišiškės,54.1667,25
Elektrėnai,54.7667,24.6333
Ežerėlis,54.8833,23.6167
Gargždai,55.7128,21.4033
Garliava,54.8167,23.8667
Gelgaudiškis,55.0792,22.9758
Grigiškės,54.6833,25.0833
Ignalina,55.35,26.1667
Jieznas,54.6,24.1667
Jonava,55.0833,24.2833
Joniškis,56.2403,23.6153
Juodupė,56.0833,25.6167
Jurbarkas,55.0778,22.7664
Kaišiadorys,54.8667,24.45
Kalvarija,54.4,23.2333
Kaunas,54.9,23.9
Kavarskas,55.4333,24.9167
Kazlų Rūda,54.7667,23.5
Kačerginė,54.9333,23.7
Kelmė,55.6339,22.9342
Klaipėda,55.7172,21.1175
Kretinga,55.8758,21.2508
Kudirkos Naumiestis,54.7731,22.8631
Kulautuva,54.9333,23.6
Kupiškis,55.8333,24.9667
Kuršėnai,55.985,22.9189
Kybartai,54.6356,22.7383
Kėdainiai,55.2883,23.9747
Lazdijai,54.2333,23.5167
Lentvaris,54.65,25.05
Linkuva,56.0856,23.9725
Marijampolė,54.5667,23.35
Mažeikiai,56.3167,22.3333
Molėtai,55.2333,25.4167
Naujamiestis,55.6833,24.15
Naujoji Akmenė,56.3167,22.9
Nemenčinė,54.85,25.4833
Neringa,55.3719,21.0647
Obeliai,55.9667,25.15
Pabiržė,56.1858,24.6367
Pabradė,55,25.7833
Pagėgiai,55.1381,21.9089
Pakruojis,55.9667,23.8667
Palanga,55.9175,21.0686
Pandėlys,56.0167,25.2167
Panemunė,55.0933,21.8919
Panevėžys,55.7333,24.35
Pasvalys,56.0594,24.4036
Plungė,55.9114,21.8442
Priekulė,55.5536,21.3267
Prienai,54.6333,23.95
Radviliškis,55.8167,23.5333
Ramygala,55.5167,24.3
Raseiniai,55.3736,23.1217
Rietavas,55.7194,21.9311
Rokiškis,55.9667,25.5833
Rusnė,55.2964,21.3758
Rūdiškės,54.5167,24.8333
Salantai,56.0667,21.5667
Seda,56.1667,22.1
Simnas,54.4,23.65
Skaudvilė,55.4167,22.6167
Skuodas,56.2667,21.5333
Smalininkai,55.0756,22.5797
Tauragė,55.2522,22.2897
Telšiai,55.9814,22.2472
Trakai,54.6333,24.9333
Troškūnai,55.6,24.85
Turmantas,55.7,26.45
Tyruliai,55.75,23.25
Ukmergė,55.25,24.75
Utena,55.5,25.6
Užventis,55.7803,22.6547
Vabalninkas,55.9667,24.75
Varniai,55.7406,22.3644
Varėna,54.2167,24.5667
Veisiejai,54.1,23.7
Venta,56.2,22.7
Viekšniai,56.2333,22.5167
Vievis,54.7667,24.8
Vilkaviškis,54.6517,23.0322
Vilkija,55.05,23.5833
Vilnius,54.6833,25.3167
Virbalis,54.6267,22.8169
Visaginas,55.6,26.4167
Zarasai,55.7333,26.25
Šakiai,54.9547,23.0358
Šalčininkai,54.3,25.3833
Šeduva,55.7667,23.7667
Šiauliai,55.9333,23.3167
Šilalė,55.4906,22.1814
Šilutė,55.3489,21.4831
Širvintos,55.05,24.95
Švenčionys,55.15,26.1667
Švenčionėliai,55.1667,26
Žagarė,56.3592,23.25
Žemaičių Naumiestis,55.3592,21.7022
Žiežmariai,54.8,24.45
