<SIZE>198
<LANG>EN,FR,DE
<STATE>Diekirch,DD
Allerborn,Allerborn,Allerborn,50,5.9
Alscheid,Alscheid,Alscheid,50,6
Arsdorf,Arsdorf,Arsdorf,49.9,5.8
Asselborn,Asselborn,Asselborn,50.1,6
Basbellain,Basbellain,Basbellain,50.1,6
Baschleiden,Baschleiden,Baschleiden,49.9,5.8
Bastendorf,Bastendorf,Bastendorf,49.9,6.2
Bavigne,Bavigne,Bavigne,49.9,5.8
Beckerich,Beckerich,Beckerich,49.7,5.9
Beiler,Beiler,Beiler,50.2,6.1
Berlé,Berlé,Berlé,50,5.9
Bettborn,Bettborn,Bettborn,49.8,5.9
Bettel,Bettel,Bettel,49.9,6.2
Bettendorf,Bettendorf,Bettendorf,49.9,6.2
Bigelbach,Bigelbach,Bigelbach,49.9,6.3
Bigonville,Bigonville,Bigonville,49.9,5.8
Bilsdorf,Bilsdorf,Bilsdorf,49.9,5.8
Binsfeld,Binsfeld,Binsfeld,50.1,6
Bivels,Bivels,Bivels,50,6.2
Biwisch,Biwisch,Biwisch,50.1,6
Bockholtz,Bockholtz,Bockholtz,49.9,6
Bockholz-lès-Hosingen,Bockholz-lès-Hosingen,Bockholz-lès-Hosingen,50,6.1
Boevange-Clervaux,Boevange-Clervaux,Boevange-Clervaux,50,5.9
Boulaide,Boulaide,Boulaide,49.9,5.8
Bourscheid,Bourscheid,Bourscheid,49.9,6.1
Boxhorn,Boxhorn,Boxhorn,50.1,6
Brachtenbach,Brachtenbach,Brachtenbach,50,5.9
Brandenbourg,Brandenbourg,Brandenbourg,49.9,6.1
Breidfeld,Breidfeld,Breidfeld,50.1,6.1
Buderscheid,Buderscheid,Buderscheid,49.9,5.9
Burden,Burden,Burden,49.9,6.1
Buschrodt,Buschrodt,Buschrodt,49.8,5.9
Calmus,Calmus,Calmus,49.7,6
Cinqfontaines,Cinqfontaines,Cinqfontaines,50.1,6
Clervaux,Clervaux,Clervaux,50.1,6
Colpach-Bas,Colpach-Bas,Colpach-Bas,49.8,5.8
Colpach-Haut,Colpach-Haut,Colpach-Haut,49.8,5.8
Consthum,Consthum,Consthum,50,6.1
Crendal,Crendal,Crendal,50.1,5.9
Dahl,Dahl,Dahl,49.9,6
Derenbach,Derenbach,Derenbach,50,5.9
Diekirch,Diekirch,Diekirch,49.9,6.2
Doennange,Doennange,Doennange,50.1,6
Doncols,Doncols,Doncols,50,5.8
Dorscheid,Dorscheid,Dorscheid,50,6.1
Drauffelt,Drauffelt,Drauffelt,50,6
Drinklange,Drinklange,Drinklange,50.1,6
Ehner,Ehner,Ehner,49.7,5.9
Ell,Ell,Ell,49.8,5.9
Eltz,Eltz,Eltz,49.8,5.9
Elvange-lès-Beckerich,Elvange-lès-Beckerich,Elvange-lès-Beckerich,49.7,5.9
Enscherange,Enscherange,Enscherange,50,6
Eppeldorf,Eppeldorf,Eppeldorf,49.8,6.2
Ermsdorf,Ermsdorf,Ermsdorf,49.8,6.2
Erpeldange-lès-Wiltz,Erpeldange-lès-Wiltz,Erpeldange-lès-Wiltz,50,5.9
Erpeldange-sur-Sûre,Erpeldange-sur-Sûre,Erpeldange-sur-Sûre,49.9,6.1
Esch-sur-Sûre,Esch-sur-Sûre,Esch-sur-Sûre,49.9,5.9
Eschdorf,Eschdorf,Eschdorf,49.9,5.9
Eschette,Eschette,Eschette,49.8,5.9
Eschweiler,Eschweiler,Eschweiler,50,5.9
Eselborn,Eselborn,Eselborn,50.1,6
Ettelbruck,Ettelbruck,Ettelbruck,49.8,6.1
Everlange,Everlange,Everlange,49.8,6
Fischbach-lès-Clervaux,Fischbach-lès-Clervaux,Fischbach-lès-Clervaux,50.1,6.1
Folkendange,Folkendange,Folkendange,49.8,6.2
Folschette,Folschette,Folschette,49.8,5.9
Fouhren,Fouhren,Fouhren,49.9,6.2
Gilsdorf,Gilsdorf,Gilsdorf,49.9,6.2
Goedange,Goedange,Goedange,50.1,6
Gralingen,Gralingen,Gralingen,49.9,6.1
Grevels,Grevels,Grevels,49.9,5.9
Grindhausen,Grindhausen,Grindhausen,50.1,6.1
Grosbous,Grosbous,Grosbous,49.8,6
Grumelscheid,Grumelscheid,Grumelscheid,50,5.9
Gœsdorf,Gœsdorf,Gœsdorf,49.9,6
Hachiville,Hachiville,Hachiville,50.1,5.9
Hamiville,Hamiville,Hamiville,50,5.9
Harlange,Harlange,Harlange,49.9,5.8
Haut-Martelange,Haut-Martelange,Haut-Martelange,49.8,5.8
Hautbellain,Hautbellain,Hautbellain,50.2,6
Heiderscheid,Heiderscheid,Heiderscheid,49.9,6
Heinerscheid,Heinerscheid,Heinerscheid,50.1,6.1
Heispelt-lès-Wahl,Heispelt-lès-Wahl,Heispelt-lès-Wahl,49.9,5.9
Hierheck,Hierheck,Hierheck,49.9,5.9
Hoesdorf,Hoesdorf,Hoesdorf,49.9,6.3
Hoffelt,Hoffelt,Hoffelt,50.1,5.9
Holler,Holler,Holler,50.1,6
Holtz,Holtz,Holtz,49.8,5.8
Holzthum,Holzthum,Holzthum,50,6.1
Hoscheid,Hoscheid,Hoscheid,49.9,6.1
Hosingen,Hosingen,Hosingen,50,6.1
Hostert-lès-Folschette,Hostert-lès-Folschette,Hostert-lès-Folschette,49.8,5.9
Hovelange,Hovelange,Hovelange,49.7,5.9
Huldange,Huldange,Huldange,50.2,6
Hupperdange,Hupperdange,Hupperdange,50.1,6.1
Huttange,Huttange,Huttange,49.7,5.9
Ingeldorf,Ingeldorf,Ingeldorf,49.9,6.1
Insenborn,Insenborn,Insenborn,49.9,5.9
Kalborn,Kalborn,Kalborn,50.1,6.1
Kapweiler,Kapweiler,Kapweiler,49.7,6
Kaundorf,Kaundorf,Kaundorf,49.9,5.9
Kautenbach,Kautenbach,Kautenbach,50,6
Knaphoscheid,Knaphoscheid,Knaphoscheid,50,6
Koetschette,Koetschette,Koetschette,49.8,5.8
Kuborn,Kuborn,Kuborn,49.9,5.9
Landscheid,Landscheid,Landscheid,49.9,6.1
Lannen,Lannen,Lannen,49.8,5.8
Leithum,Leithum,Leithum,50.2,6.1
Lellingen,Lellingen,Lellingen,50,6
Levelange,Levelange,Levelange,49.7,5.9
Liefrange,Liefrange,Liefrange,49.9,5.9
Lieler,Lieler,Lieler,50.1,6.1
Lipperscheid,Lipperscheid,Lipperscheid,49.9,6.1
Longsdorf,Longsdorf,Longsdorf,49.9,6.2
Lullange,Lullange,Lullange,50.1,5.9
Lultzhausen,Lultzhausen,Lultzhausen,49.9,5.9
Marnach,Marnach,Marnach,50.1,6.1
Masseler,Masseler,Masseler,49.9,6
Mecher,Mecher,Mecher,49.9,5.9
Medernach,Medernach,Medernach,49.8,6.2
Merkholz,Merkholz,Merkholz,50,6
Merscheid-lès-Heiderscheid,Merscheid-lès-Heiderscheid,Merscheid-lès-Heiderscheid,49.9,6
Merscheid-lès-Putscheid,Merscheid-lès-Putscheid,Merscheid-lès-Putscheid,50,6.1
Mertzig,Mertzig,Mertzig,49.8,6
Michelau,Michelau,Michelau,49.9,6.1
Michelbouch,Michelbouch,Michelbouch,49.8,6
Moestroff,Moestroff,Moestroff,49.9,6.2
Munshausen,Munshausen,Munshausen,50,6
Nachtmanderscheid,Nachtmanderscheid,Nachtmanderscheid,49.9,6.1
Nagem,Nagem,Nagem,49.8,5.9
Neidhausen,Neidhausen,Neidhausen,50,6.1
Neunhausen,Neunhausen,Neunhausen,49.9,5.9
Niederfeulen,Niederfeulen,Niederfeulen,49.9,6
Niederpallen,Niederpallen,Niederpallen,49.8,5.9
Nocher,Nocher,Nocher,49.9,6
Noerdange,Noerdange,Noerdange,49.7,5.9
Noertrange,Noertrange,Noertrange,50,5.9
Nothum,Nothum,Nothum,49.9,5.9
Oberfeulen,Oberfeulen,Oberfeulen,49.8,6
Oberpallen,Oberpallen,Oberpallen,49.7,5.8
Oberwampach,Oberwampach,Oberwampach,50,5.9
Ospern,Ospern,Ospern,49.8,5.9
Perlé,Perlé,Perlé,49.8,5.8
Petit-Nobressart,Petit-Nobressart,Petit-Nobressart,49.8,5.8
Pintsch,Pintsch,Pintsch,50,6
Platen,Platen,Platen,49.8,5.9
Pommerloch,Pommerloch,Pommerloch,50,5.9
Pratz,Pratz,Pratz,49.8,5.9
Putscheid,Putscheid,Putscheid,50,6.1
Rambrouch,Rambrouch,Rambrouch,49.8,5.8
Redange,Redange,Redingen,49.8,5.9
Reichlange,Reichlange,Reichlange,49.8,5.9
Reimberg,Reimberg,Reimberg,49.8,6
Reisdorf,Reisdorf,Reisdorf,49.9,6.3
Reuler,Reuler,Reuler,50.1,6
Rippweiler,Rippweiler,Rippweiler,49.8,6
Roder,Roder,Roder,50.1,6.1
Rodershausen,Rodershausen,Rodershausen,50,6.1
Rombach-Martelange,Rombach-Martelange,Rombach-Martelange,49.8,5.7
Roodt-lès-Ell,Roodt-lès-Ell,Roodt-lès-Ell,49.8,5.8
Saeul,Saeul,Saeul,49.7,6
Sassel,Sassel,Sassel,50.1,6
Schandel,Schandel,Schandel,49.8,6
Schieren,Schieren,Schieren,49.8,6.1
Schleif,Schleif,Schleif,50,5.9
Schlindermanderscheid,Schlindermanderscheid,Schlindermanderscheid,49.9,6.1
Schwebach,Schwebach,Schwebach,49.7,6
Schweich,Schweich,Schweich,49.7,5.9
Selscheid,Selscheid,Selscheid,50,5.9
Siebenaler,Siebenaler,Siebenaler,50,6
Sonlez,Sonlez,Sonlez,50,5.8
Stegen,Stegen,Stegen,49.8,6.2
Stockem,Stockem,Stockem,50.1,6
Stolzembourg,Stolzembourg,Stolzembourg,50,6.2
Surré,Surré,Surré,49.9,5.8
Tandel,Tandel,Tandel,49.9,6.2
Tarchamps,Tarchamps,Tarchamps,50,5.8
Troisvierges,Troisvierges,Troisvierges,50.1,6
