<SIZE>94
<LANG>EN,FR,DE
<STATE>Grevenmacher,GG
Altlinster,Altlinster,Altlinster,49.7,6.2
Altrier,Altrier,Altrier,49.7,6.3
Altwies,Altwies,Altwies,49.5,6.3
Assel,Assel,Assel,49.6,6.3
Beaufort,Beaufort,Befort,49.8,6.3
Bech,Bech,Bech,49.7,6.4
Bech-Kleinmacher,Bech-Kleinmacher,Bech-Kleinmacher,49.5,6.4
Beidweiler,Beidweiler,Beidweiler,49.7,6.3
Berbourg,Berbourg,Berbourg,49.7,6.4
Berdorf,Berdorf,Berdorf,49.8,6.4
Berg-sur-Syre,Berg-sur-Syre,Berg-sur-Syre,49.7,6.4
Betzdorf,Betzdorf,Betzdorf,49.7,6.4
Beyren,Beyren,Beyren,49.6,6.3
Biwer,Biwer,Biwer,49.7,6.4
Born,Born,Born,49.8,6.5
Boudler,Boudler,Boudler,49.7,6.4
Bourglinster,Bourglinster,Bourglinster,49.7,6.2
Boursdorf,Boursdorf,Boursdorf,49.8,6.5
Bous,Bous,Bous,49.6,6.3
Breidweiler,Breidweiler,Breidweiler,49.8,6.3
Breinert,Breinert,Breinert,49.7,6.3
Brouch-lès-Biwer,Brouch-lès-Biwer,Brouch-lès-Biwer,49.7,6.3
Burmerange,Burmerange,Burmerange,49.5,6.3
Canach,Canach,Canach,49.6,6.3
Christnach,Christnach,Christnach,49.8,6.3
Consdorf,Consdorf,Consdorf,49.8,6.3
Dalheim,Dalheim,Dalheim,49.5,6.3
Dickweiler,Dickweiler,Dickweiler,49.8,6.5
Dillingen,Dillingen,Dillingen,49.9,6.3
Echternach,Echternach,Echternach,49.8,6.4
Ehnen,Ehnen,Ehnen,49.6,6.4
Eisenborn,Eisenborn,Eisenborn,49.7,6.2
Ellange,Ellange,Ellange,49.5,6.3
Elvange-lès-Burmerange,Elvange-lès-Burmerange,Elvange-lès-Burmerange,49.5,6.3
Emerange,Emerange,Emerange,49.5,6.3
Erpeldange-lez-Bous,Erpeldange-lez-Bous,Erpeldange-lez-Bous,49.5,6.3
Eschweiler-lès-Rodenbourg,Eschweiler-lès-Rodenbourg,Eschweiler-lès-Rodenbourg,49.7,6.3
Filsdorf,Filsdorf,Filsdorf,49.5,6.2
Flaxweiler,Flaxweiler,Flaxweiler,49.7,6.3
Girst,Girst,Girst,49.8,6.5
Girsterklaus,Girsterklaus,Girsterklaus,49.8,6.5
Givenich,Givenich,Givenich,49.7,6.5
Godbrange,Godbrange,Godbrange,49.7,6.2
Gonderange,Gonderange,Gonderange,49.7,6.2
Gostingen,Gostingen,Gostingen,49.6,6.4
Greiveldange,Greiveldange,Greiveldange,49.6,6.4
Grevenmacher,Grevenmacher,Grevenmacher,49.7,6.4
Grundhof,Grundhof,Grundhof,49.8,6.3
Hagelsdorf,Hagelsdorf,Hagelsdorf,49.7,6.4
Haller,Haller,Haller,49.8,6.3
Hemstal,Hemstal,Hemstal,49.7,6.3
Herborn,Herborn,Herborn,49.7,6.4
Hinkel,Hinkel,Hinkel,49.8,6.5
Imbringen,Imbringen,Imbringen,49.7,6.2
Junglinster,Junglinster,Junglinster,49.7,6.3
Lellig,Lellig,Lellig,49.7,6.4
Lenningen,Lenningen,Lenningen,49.6,6.4
Machtum,Machtum,Machtum,49.7,6.4
Manternach,Manternach,Manternach,49.7,6.4
Medingen,Medingen,Medingen,49.6,6.2
Mensdorf,Mensdorf,Mensdorf,49.7,6.3
Mertert,Mertert,Mertert,49.7,6.5
Moersdorf,Moersdorf,Moersdorf,49.7,6.5
Mompach,Mompach,Mompach,49.7,6.5
Mondorf-les-Bains,Mondorf-les-Bains,Mondorf-les-Bains,49.5,6.3
Müllerthal,Müllerthal,Müllerthal,49.8,6.3
Münschecker,Münschecker,Münschecker,49.7,6.4
Niederdonven,Niederdonven,Niederdonven,49.6,6.4
Oberdonven,Oberdonven,Oberdonven,49.6,6.4
Olingen,Olingen,Olingen,49.7,6.3
Osweiler,Osweiler,Osweiler,49.8,6.4
Remerschen,Remerschen,Remerschen,49.5,6.4
Remich,Remich,Remich,49.5,6.4
Rippig,Rippig,Rippig,49.7,6.3
Rodenbourg,Rodenbourg,Rodenbourg,49.7,6.3
Rolling,Rolling,Rolling,49.5,6.3
Roodt-sur-Syre,Roodt-sur-Syre,Roodt-sur-Syre,49.7,6.3
Rosport,Rosport,Rosport,49.8,6.5
Scheidgen,Scheidgen,Scheidgen,49.8,6.4
Schengen,Schengen,Schengen,49.5,6.4
Schwebsange,Schwebsange,Schwebsange,49.5,6.4
Stadtbredimus,Stadtbredimus,Stadtbredimus,49.6,6.4
Steinheim,Steinheim,Steinheim,49.8,6.5
Trintange,Trintange,Trintange,49.6,6.3
Waldbillig,Waldbillig,Waldbillig,49.8,6.3
Waldbredimus,Waldbredimus,Waldbredimus,49.6,6.3
Wasserbillig,Wasserbillig,Wasserbillig,49.7,6.5
Wecker,Wecker,Wecker,49.7,6.4
Weilerbach,Weilerbach,Weilerbach,49.8,6.4
Welfrange,Welfrange,Welfrange,49.5,6.3
Wellenstein,Wellenstein,Wellenstein,49.5,6.3
Wintrange,Wintrange,Wintrange,49.5,6.4
Wormeldange,Wormeldange,Wormeldange,49.6,6.4
Zittig,Zittig,Zittig,49.7,6.3
