<SIZE>107
<LANG>EN
<STATE>LV,LV
Abragciems,57.2028,23.2036
Ainaži,57.8636,24.3578
Aizkraukle,56.6,25.1833
Aizpute,56.7167,21.6
Aknīste,56.1667,25.75
Alksnājciems,57.31,23.0458
Aloja,57.7669,24.8825
Alūksne,57.4167,27.05
Ape,57.5333,26.6667
Apšuciems,57.0617,23.3056
Auce,56.4667,22.8833
Baldone,56.7428,24.3944
Baloži,56.8761,24.1186
Balvi,57.1333,27.25
Bauska,56.4075,24.1906
Brizule,57.0906,23.0881
Brocēni,56.7,22.5333
Bērzciems,57.2464,23.1736
Cesvaine,56.9667,26.3167
Cērkste,57.0294,23.2522
Cēsis,57.3,25.25
Dagda,56.1,27.5333
Daugavpils,55.8833,26.5333
Dobele,56.625,23.2786
Durbe,56.5833,21.35
Dzedri,57.2486,23.0267
Dzirciems,57.1206,23.0125
Engure,57.1631,23.2242
Grobiņa,56.55,21.1667
Gulbene,57.1833,26.75
Iecava,56.5986,24.2022
Ikšķile,56.8333,24.5
Ilūkste,55.9667,26.3
Jaunjelgava,56.6167,25.0833
Jaunpļavas,57.2058,23.0547
Jelgava,56.65,23.7128
Jumprava,56.6775,24.9739
Jēkabpils,56.4833,25.85
Jūrmala,56.9608,23.75
Kaive,57.0606,23.0272
Kandava,57.0333,22.7667
Klapkalnciems,57.0408,23.3636
Krāslava,55.9,27.1667
Kuldīga,56.9667,21.9833
Kārsava,56.7833,27.6667
Lielaisciems,57.0119,23.2775
Lielvārde,56.7225,24.805
Liepāja,56.5,21
Limbaži,57.5103,24.7142
Lubāna,56.9,26.7167
Ludza,56.55,27.7167
Līgatne,57.2333,25.05
Līvāni,56.3667,26.1833
Madona,56.85,26.2167
Mazsalaca,57.8667,25.05
Mērsrags,57.34,23.1214
Ogre,56.8167,24.6
Olaine,56.7853,23.9381
Ozolnieki,56.6864,23.7878
Piltene,57.2167,21.6667
Plieņciems,57.0828,23.2642
Preiļi,56.3,26.7167
Priekule,56.4333,21.5833
Pāvilosta,56.8833,21.1833
Pļaviņas,56.6167,25.7167
Ragaciems,57.0244,23.4944
Rauda,57.0086,23.1814
Rideļi,57.1372,23.1006
Rindzele,57.1406,23.0492
Rēzekne,56.5,27.3167
Rīga,56.95,24.1
Rūjiena,57.9,25.3167
Sabile,57.05,22.5833
Salacgrīva,57.7536,24.3581
Salaspils,56.8611,24.3494
Saldus,56.6667,22.5
Saulkrasti,57.2636,24.4181
Seda,57.65,25.75
Sigulda,57.1519,24.8647
Skrunda,56.6833,22.0167
Smiltene,57.4333,25.9
Staicele,57.8364,24.75
Stende,57.15,22.5333
Strenči,57.6257,25.6853
Subate,56.0167,25.9
Sēme,57.0422,23.1278
Talsi,57.25,22.6
Tukums,56.9669,23.1553
Tīreļi,56.8417,23.5875
Ulbroka,56.9411,24.2897
Upesgrīva,57.3864,23.0139
Valdemārpils,57.3667,22.5833
Valka,57.7667,26
Valmiyera,57.55,25.4
Vangaži,57.0936,24.5486
Vecmokas,57.0008,23.0803
Vecumnieki,56.6064,24.5222
Ventspils,57.3894,21.5606
Viesīte,56.35,25.55
Vilksala,57.0331,23.0106
Viļāni,56.55,26.95
Zilupe,56.3833,28.1167
Ķegums,56.7442,24.7158
Ķekava,56.8294,24.2372
Ķesterciems,57.1147,23.2311
Ķipatciems,57.33,23.0519
Ķuļciems,57.2656,23.0319
