<SIZE>55
<LANG>EN
<STATE>MT,MT
Attard,35.8897,14.4425
Balzan,35.9003,14.455
Birkirkara,35.8972,14.4611
Cospicua,35.8856,14.5275
Dingli,35.8614,14.3822
Gudja,35.8492,14.5031
Għarb,36.06,14.2089
Għargħur,35.9242,14.4519
Għasri,36.0578,14.2264
Għaxaq,35.8489,14.5167
Floriana,35.8958,14.5083
Il-Gżira,35.9058,14.4881
Kalkara,35.8892,14.5328
Kerċem,36.0419,14.2267
Kirkop,35.8422,14.4853
L-Iklin,35.9092,14.4522
Lija,35.9006,14.4464
Luqa,35.8589,14.4886
Marsa,35.8792,14.4953
Marsaxlokk,35.8419,14.5431
Mdina,35.8869,14.4025
Mellieħa,35.9564,14.3622
Mosta,35.9092,14.4256
Mqabba,35.8476,14.4682
Msida,35.8925,14.4828
Munxar,36.03,14.2333
Mġarr,36.0253,14.295
Nadur,36.0378,14.2942
Naxxar,35.9136,14.4436
Paola,35.8731,14.4989
Qala,36.0361,14.3094
Qormi,35.876,14.472
Qrendi,35.8347,14.4583
Rabat,35.8822,14.3981
Safi,35.8331,14.4847
San Lawrenz,36.0556,14.2036
San Pawl il-Baħar,35.9483,14.4006
St. Julian's,35.9197,14.4844
San Ġwann,35.9056,14.4761
Sannat,36.0244,14.2428
Senglea,35.8875,14.5169
Siġġiewi,35.8556,14.4364
Sliema,35.9125,14.5019
Tarxien,35.8658,14.515
Valletta,35.8997,14.5147
Victoria,36.0444,14.2397
Birgu,35.8922,14.5183
Xagħra,36.05,14.2644
Xewkija,36.0328,14.2581
Xgħajra,35.8856,14.5475
Ħamrun,35.8847,14.4844
Żabbar,35.8761,14.535
Żebbuġ,35.8719,14.4411
Żejtun,35.8558,14.5331
Żurrieq,35.8311,14.4742
