<SIZE>89
<LANG>EN
<STATE>Friesland,FR
Akkrum,53.05,5.83333
Anjum,53.3748,6.12698
Arum,53.1295,5.47643
Augustinusga,53.2179,6.1617
Balk,52.8976,5.57964
Bergum,53.2,6
Berlikum,53.25,5.65
Birdaard,53.3,5.88333
Boelenslaan,53.1667,6.15
Bolsward,53.0667,5.53333
Britsum,53.25,5.78333
Broeksterwoude,53.2747,5.99648
Buitenpost,53.2517,6.14483
Damwoude,53.2905,5.99785
Deinum,53.2,5.71667
Dokkum,53.3333,6
Drachten,53.1,6.1
Drogeham,53.2021,6.11183
Dronrijp,53.2,5.65
Echtenerbrug,52.8714,5.82147
Ferwerd,53.3378,5.82533
Franeker,53.1855,5.54123
Garijp,53.1667,5.96667
Giekerk,53.2429,5.89502
Gorredijk,53,6.06667
Goutum,53.1773,5.8037
Grouw,53.1,5.83333
Hallum,53.3066,5.78379
Hardegarijp,53.2133,5.94137
Harkema-Opeinde,53.1833,6.13333
Harlingen,53.1748,5.42244
Haskerhorne,52.9535,5.82941
Heeg,52.9686,5.61075
Heerenveen,52.9593,5.91854
Hollum,53.4394,5.63805
Holwerd,53.3681,5.90073
IJlst,53.0096,5.62569
Irnsum,53.0826,5.79396
Joure,52.9657,5.80301
Kollum,53.2833,6.15
Kollumerzwaag,53.2622,6.07544
Kootstertille,53.2126,6.09209
Koudum,52.9167,5.45
Leeuwarden,53.2,5.78333
Lemmer,52.85,5.71667
Mantgum,53.1286,5.71924
Marrum,53.3228,5.80198
Marssum,53.2167,5.73333
Menaldum,53.2167,5.66667
Minnertsga,53.251,5.59513
Nes,53.445,5.774
Nijehaske,52.9607,5.89283
Noordbergum,53.2213,6.00523
Oenkerk,53.25,5.9
Oldeboorn,53.05,5.9
Oost-Vlieland,53.297,5.07431
Oostermeer,53.1747,6.05999
Oppenhuizen,53.0119,5.69495
Oudehaske,52.9571,5.87095
Oudemirdum,52.8502,5.53544
Rinsumageest,53.3,5.95
Roordahuizum,53.1178,5.78765
Scharnegoutum,53.0605,5.67822
Scharsterbrug,52.9441,5.77889
Schiermonnikoog,53.4833,6.16667
Sexbierum,53.2167,5.48333
Sint Annaparochie,53.2762,5.65727
Sint Jacobiparochie,53.2729,5.60354
Sneek,53.0333,5.66667
Stiens,53.2667,5.76667
Suameer,53.1833,6
Surhuisterveen,53.1833,6.16667
Surhuizum,53.2047,6.17981
Ternaard,53.3833,5.96667
Tietjerk,53.2134,5.90961
Twijzel,53.2315,6.08952
Twijzelerheide,53.2402,6.04591
Tzum,53.1584,5.56355
Tzummarum,53.2373,5.54612
Warga,53.1515,5.84404
Wartena,53.15,5.9
West-Terschelling,53.3591,5.21482
Winsum,53.15,5.63333
Wirdum,53.1489,5.80387
Wommels,53.1081,5.58861
Workum,52.9833,5.45
Woudsend,52.9436,5.62843
Wouterswoude,53.3,6.03333
Zwaagwesteinde,53.2573,6.0363
